name,mz,rt,intensity,group_id,degree_cor,sub_group_id,degree,n_nodes,n_edges,label_charge_oligomer,isotope_labels_a,isotope_ids,isotope_labels_b,atoms,molecular_formula,adduct,compound_name,compound_id,exact_mass,ppm_error
1,100.0243813,53.606088,1893670.52,5,91,1,5,261,518,[M+ACN+H]+::1::1||[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,,,,,,,None||None||None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None||None||None,,
2,100.0755823,65.214456,739789.2,17,1,2,1,2,1,[M+H+HCOOH]+::1::1||[M+H-NH3]+::1::1||[M+H]+::1::1,,,,,C5H11NO2||C3H6O||C5H11NO2||C3H6O||C5H11NO2||C5H11NO2||C5H11NO2||C3H6O||C5H11NO2||C3H6O||C5H11NO2||C5H11NO2||C5H11NO2||C3H6O||C5H11NO2||C3H6O||C5H11NO2||C5H11NO2||C5H12N2O,[M+H-H2O]+||[M+ACN+H]+||[M+H-H2O]+||[M+ACN+H]+||[M+H-H2O]+||[M+H-H2O]+||[M+H-H2O]+||[M+ACN+H]+||[M+H-H2O]+||[M+ACN+H]+||[M+H-H2O]+||[M+H-H2O]+||[M+H-H2O]+||[M+ACN+H]+||[M+H-H2O]+||[M+ACN+H]+||[M+H-H2O]+||[M+H-H2O]+||[M+H-NH3]+,L-Valine||Acetone||5-Aminopentanoate||Propanal||Betaine||4-Methylaminobutyrate||L-Valine||Acetone||5-Aminopentanoate||Propanal||Betaine||4-Methylaminobutyrate||L-Valine||Acetone||5-Aminopentanoate||Propanal||Betaine||4-Methylaminobutyrate||None||5-Aminopentanamide||None,C00183||C00207||C00431||C00479||C00719||C15987||C00183||C00207||C00431||C00479||C00719||C15987||C00183||C00207||C00431||C00479||C00719||C15987||None||C00990||None,100.075689||100.075688||100.075689||100.075688||100.075689||100.075689||100.075689||100.075688||100.075689||100.075688||100.075689||100.075689||100.075689||100.075688||100.075689||100.075688||100.075689||100.075689||100.075693,1.07||1.06||1.07||1.06||1.07||1.07||1.07||1.06||1.07||1.06||1.07||1.07||1.07||1.06||1.07||1.06||1.07||1.07||1.11
3,100.9319198,34.2714495,526997.8,3,23,3,4,28,44,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+Na]+::1::1,,,,,,,None||None||None||None||None||None,None||None||None||None||None||None,,
4,101.0084619,53.5146297,52073876,5,145,1,10,261,518,[M+ACN+H]+::1::1||[M+H-H2O]+::1::1||[M+H-NH3]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+MeOH+H]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,K,19,(41K),1.6,,,None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None,,
5,101.0232979,109.178706,74087.74,,,,,,,,,,,,C4H6O4||C4H7NO3||C4H6O4||C4H7NO3,[M+H-H2O]+||[M+H-NH3]+||[M+H-H2O]+||[M+H-NH3]+,Succinate||L-Aspartate 4-semialdehyde||Methylmalonate||L-2-Amino-3-oxobutanoic acid,C00042||C00441||C02170||C03508,101.023319||101.023323||101.023319||101.023323,0.21||0.25||0.21||0.25
6,101.023312,305.748222,173353.185,,,,,,,,,,,,C4H6O4||C4H7NO3||C4H6O4||C4H7NO3,[M+H-H2O]+||[M+H-NH3]+||[M+H-H2O]+||[M+H-NH3]+,Succinate||L-Aspartate 4-semialdehyde||Methylmalonate||L-2-Amino-3-oxobutanoic acid,C00042||C00441||C02170||C03508,101.023319||101.023323||101.023319||101.023323,0.07||0.11||0.07||0.11
7,101.0228575,751.25142,2258510.1,,,,,,,,,,,,C4H6O4||C4H7NO3||C4H6O4||C4H7NO3,[M+H-H2O]+||[M+H-NH3]+||[M+H-H2O]+||[M+H-NH3]+,Succinate||L-Aspartate 4-semialdehyde||Methylmalonate||L-2-Amino-3-oxobutanoic acid,C00042||C00441||C02170||C03508,101.023319||101.023323||101.023319||101.023323,4.57||4.61||4.57||4.61
8,101.0230505,379.701051,215898.21,,,,,,,,,,,,C4H6O4||C4H7NO3||C4H6O4||C4H7NO3,[M+H-H2O]+||[M+H-NH3]+||[M+H-H2O]+||[M+H-NH3]+,Succinate||L-Aspartate 4-semialdehyde||Methylmalonate||L-2-Amino-3-oxobutanoic acid,C00042||C00441||C02170||C03508,101.023319||101.023323||101.023319||101.023323,2.66||2.7||2.66||2.7
9,102.0092312,53.4892788,4785221.1,,,,,,,,,,,,,,,,,
10,102.0090152,1374.42033,5392866.55,465,2,,,,,,,,,,,,,,,
11,102.0548373,88.669368,2775936.1,5,45,4,1,12,21,,K,26,(41K),65.5,C2H4O2||C4H9NO3||C4H9NO3||C2H4O2||C4H7NO2||C4H10N2O2||C4H9NO3||C4H4O2,[M+ACN+H]+||[M+H-H2O]+||[M+H-H2O]+||[M+ACN+H]+||[M+H]+||[M+H-NH3]+||[M+H-H2O]+||[M+NH4]+,"Acetate||L-Threonine||L-Homoserine||Glycolaldehyde||1-Aminocyclopropane-1-carboxylate||L-2,4-Diaminobutanoate||L-Allothreonine||3-Butynoate",C00033||C00188||C00263||C00266||C01234||C03283||C05519||C06144,102.054952||102.054953||102.054953||102.054952||102.0549544||102.054958||102.054953||102.054952,1.12||1.13||1.13||1.12||1.15||1.18||1.13||1.12
