mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CAR	Mean_Treatment.CON	Mean_Genotype.I	Mean_Genotype.X
100.0755823	0.0002737925	0.0850560646	0.1129861514	0.9981431924	0.2075418309	0.9905120932	0.9119242835	no	14.7496774471875	14.8682649859375	14.350923715625	14.4984770645161	14.7682870026562	14.4648593268254	14.6819889142187	14.5525272261905
101.0084619	0.0846220243	0.7252562673	0	0.9981431924	0.2572324073	0.9730413123	0.8799923687	no	18.9172881325	18.9345665840625	18.6524182209375	18.6311181064516	18.8160603979688	18.7535480925397	18.3097856325	19.2678589653968
101.0230505	0.2093694125	0.3157086698	0	0.9981431924	0.4634814384	0.9905120932	0.6433561373	no	13.9393711940625	14.003750628125	13.863573101875	13.9125189758065	13.972312371875	13.8868941907937	13.6953349315625	14.1682680984127
101.0232979	0.7442421959	0.243526429	0	0.9981431924	0.0061241306	0.9730413123	0.6484433227	no	15.6032000975	15.6753169565625	15.735638855625	15.6872928	15.7756774104688	15.573265264127	15.3446616276563	16.0111225673016
101.023312	0.4812040563	0.3405537769	0	0.9981431924	0.1698517973	0.9905120932	0.6102025604	no	13.9482845996875	13.99522402875	13.921582310625	13.9416714374194	13.9810463064063	13.922027952381	13.77538182375	14.1309569506349
102.0092312	0.0842574787	0.7163526759	0	0.9981431924	0.2762302606	0.9730413123	0.8859488249	no	16.648188229375	16.673072401875	16.384501915625	16.3664623641935	16.5521276132813	16.4858502784127	16.0413453057812	17.0047402415873
102.0548373	0.1416116791	0.3562425283	1.50458e-05	0.9981431924	0.9250979986	0.9905120932	0.9985883966	no	15.63965894875	15.6996113659375	15.575327515	15.6876841893548	15.6852840964062	15.614716797619	15.7344752982813	15.5647447830159
102.0549167	0.573000529	0.3772367981	0.0039356613	0.9981431924	0.7973198233	0.9905120932	0.9981823114	no	16.7671626428125	16.8623685040625	16.7590622196875	16.7768409735484	16.8370761590625	16.7451457734921	16.7132889859375	16.870897822381
102.0909528	0.1234986442	0.2501785091	0	0.9981431924	0.1161377478	0.9905120932	0.741400415	no	15.7638623915625	15.91208350875	15.699437065625	15.6487519151613	15.8452161726562	15.6671385592064	15.2866533523438	16.2345674560317
102.0910822	0.5327218173	0.3208871024	0	0.9981431924	0.2836702752	0.9905120932	0.9618640731	no	15.58587175625	15.6508926934375	15.487185178125	15.4952720041935	15.6353129765625	15.4739649161905	14.9360005329687	16.1843775573016
102.0912792	0.3598104546	0.7577225001	0	0.9981431924	0.4046790374	0.9905120932	0.8450942073	no	16.597144815625	16.41902220875	16.398419055625	16.3147047167742	16.4028104342188	16.4641703649206	15.2161229054687	17.6696942036508
102.5708116	0.1558668817	0.7415873315	0.0026714381	0.9981431924	0.2590539607	0.9905120932	0.9470239716	no	15.0802797503125	15.195365580625	15.23282358125	15.0176778509677	15.1519442196875	15.1126125160317	15.027991626875	15.2385326103175
103.0058852	0.0747710194	0.732554279	0	0.9981431924	0.3043803436	0.9730413123	0.85711027	no	16.690868245625	16.7083604375	16.423786669375	16.3993254406452	16.5862100628125	16.5269545384127	16.081743614375	17.0394283907936
103.0540818	0.3509850077	0.8713322164	5.3775e-06	0.9981431924	0.0001842314	0.9905120932	0.9665458283	no	14.2006539303125	14.2452799715625	14.2153691334375	14.2407345919355	14.228345648125	14.2223864761905	14.2687257535938	14.1813654166667
103.0541606	0.2163925985	0.8868606359	0	0.9981431924	0.454301934	0.992947435	0.741400415	no	17.7218014653125	17.7684997234375	17.6369217459375	17.6995742858065	17.7122328648437	17.7011910066667	17.9990040528125	17.4098678950794
104.0527685	0.1775080909	0.7484308715	0	0.9981431924	0.8168050327	0.9946189697	0.9882047026	no	17.0399452109375	17.0888760753125	16.9396929496875	17.0268988190323	17.0367158303125	17.0107381873016	17.28348471125	16.76005234
104.0575158	0.2187110675	0.9144126713	0	0.9981431924	0.4124678659	0.9999127051	0.741400415	no	15.29136541	15.3261907959375	15.2049174028125	15.2620233796774	15.2749801423438	15.2673516053968	15.541594105625	14.9965056744444
104.0705707	0.7584890575	0.243526429	0	0.9981431924	0.4528017634	0.9999127051	0.9237074891	no	17.880218336875	17.8956447128125	17.8016994909375	17.8408379477419	17.9344302757812	17.7737212703175	17.4069061240625	18.3096188212698
104.1069793	0.0204721051	0.2576644197	5.1e-09	0.9981431924	0.9993945753	0.8058315627	0.6680983165	no	20.6406523175	20.592687005	20.4047488003125	20.4584535164516	20.5874140901563	20.4608948757143	20.6941166354687	20.3524986392063
105.0033603	0.1317647674	0.7386061122	0	0.9981431924	0.2981068504	0.9905120932	0.8767575145	no	20.2107898346875	20.27466923875	19.98620938875	19.9887453496774	20.1449750814063	20.086763355873	19.6515740865625	20.5879961125397
105.0561443	0.0755477875	0.7181598119	0	0.9981431924	0.2282036432	0.9905120932	0.9919597918	no	14.1255744671875	14.159354298125	14.05399115125	14.13052087	14.1262933289063	14.1080763690476	14.2839399553125	13.9479274152381
