mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CON	Mean_Treatment.Pb	Mean_Genotype.I	Mean_Genotype.X
100.0755823	0.5607568373	0.6487140746	0.7002900339	0.9731082212	0.0464333026	0.8875668801	0.9997653318	no	14.5276375425806	14.62649012375	14.4294179928125	14.4676102396774	14.4648593268254	14.5612000538095	14.530027338254	14.496032042381
101.0084619	0.8642689763	0.7048664843	0	0.9630275682	0.8493713504	0.8762961456	0.9997653318	no	18.8664093096774	18.844741498125	18.75180160125	18.7459006022581	18.7535480925397	18.8507532796825	18.3581700846032	19.246131287619
101.0230505	0.8027167161	0.5928608293	0	0.9479224591	0.8286187066	0.8503362593	0.9997653318	no	13.9006982729032	13.989473221875	13.896970775625	13.9176631590323	13.8868941907937	13.966048861746	13.6835665238095	14.1693765287302
101.0232979	0.4321187477	0.5725301177	1.3e-09	0.998206491	0.4095773886	0.8286928014	0.9997653318	no	15.5117747577419	15.611905136875	15.78467689625	15.6505159	15.573265264127	15.7080305366667	15.3125629528571	15.9687328479365
101.023312	0.9709602747	0.5129195632	0	0.9836611647	0.8426498681	0.8058849012	0.9997653318	no	13.9458297406452	13.9768244496875	13.9493586884375	13.9688244525806	13.922027952381	13.9984822128571	13.7739214546032	14.1465887106349
102.0092312	0.8745625037	0.7011506208	0	0.9630275682	0.8717184656	0.8784125404	0.9997653318	no	16.599642026129	16.574898400625	16.4825898384375	16.484599676129	16.4858502784127	16.5848023631746	16.0915824512698	16.9790701903175
102.0548373	0.1949669512	0.3426992011	1.113e-07	0.9849222989	0.8157070682	0.9916239828	0.9997653318	no	15.6229792754839	15.720849015	15.6091508171875	15.6714824283871	15.614716797619	15.6977960190476	15.7541625515873	15.5583502650794
102.0549167	0.7917471898	0.5411300242	0.0009064912	0.998206491	0.8681582016	0.8901624192	0.9997653318	no	16.7601764977419	16.83709585125	16.7598374125	16.7756681706452	16.7451457734921	16.8217280226984	16.6941361322222	16.8727376639683
102.0909528	0.6754499569	0.5752240869	0	0.9836611647	0.3007536355	0.9841488022	0.9997653318	no	15.6856172758065	15.8166865778125	15.751335898125	15.643380233871	15.6671385592064	15.7832684571429	15.2047826350794	16.2456243812698
102.0910822	0.9797553793	0.540071244	0	0.9630275682	0.544356336	0.980607434	0.9997653318	no	15.5352010016129	15.5657182015625	15.562715809375	15.5100314551613	15.4739649161905	15.6135286474603	14.8855408080952	16.2019527555556
102.0912792	0.2848568495	0.7748323114	0	0.8112264673	0.5963844852	0.8144313739	0.9997653318	no	16.59153467	16.6816164196875	16.35549964875	16.3809154490323	16.4641703649206	16.5411259506349	15.3202252042857	17.6850711112698
102.5708116	0.6128028056	0.6222230989	0.0201172705	0.9590157083	0.0123426983	0.8005583392	0.9997653318	no	15.1329807225806	15.187737485	15.2047699740625	15.0719913348387	15.1126125160317	15.1876156184127	15.0722274298413	15.2280007046032
103.0058852	0.8556958721	0.716013883	0	0.9630275682	0.8848807657	0.8843084902	0.9997653318	no	16.6436787009677	16.6120533996875	16.516404009375	16.5235927122581	16.5269545384127	16.6206018250794	16.1296029834921	17.01795338
103.0540818	0.3038209853	0.7171488746	4.88863e-05	0.8498035749	0.000715906	0.9926897841	0.9997653318	no	14.2012784409677	14.250039893125	14.19386082875	14.20893187	14.2223864761905	14.2049364244444	14.2550070306349	14.17231587
103.0541606	0.1239306378	0.5429061318	0	0.9479224591	0.649759798	0.7707867238	0.9997653318	no	17.7412555945161	17.801248171875	17.650147046875	17.7250683364516	17.7011910066667	17.7575500863492	18.0027007333333	17.4560403596825
104.0527685	0.324214363	0.5877244869	0	0.9801495644	0.4005873958	0.8600414353	0.9997653318	no	17.0550255558065	17.107041703125	16.9716145309375	17.0241186641935	17.0107381873016	17.0681581668254	17.2806668628571	16.7982294912698
104.0575158	0.072534591	0.5533817499	0	0.9567600721	0.6679408119	0.7770413475	0.9997653318	no	15.3019076719355	15.364110578125	15.210884414375	15.2941750558065	15.2673516053968	15.318019891746	15.5427288157143	15.0426426814286
104.0705707	0.9179324142	0.7796110597	0	0.9836611647	0.187925516	0.8574340115	0.9997653318	no	17.8318136658065	17.795625196875	17.7808062153125	17.7630524358065	17.7737212703175	17.8117811795238	17.3653579996825	18.2201444501587
104.1069793	0.5416544856	0.9398448209	6.3e-09	0.9548838135	0.6251786141	0.5813128537	0.9997653318	no	20.5507344019355	20.4230961028125	20.423341288125	20.4682433793548	20.4608948757143	20.4704433422222	20.651196477619	20.2801417403175
105.0033603	0.876603211	0.7247431909	0	0.9590157083	0.7103894264	0.8757706285	0.9997653318	no	20.1860063287097	20.18509122	20.077143270625	20.0832673767742	20.086763355873	20.1789348753968	19.6804841133333	20.5852141179365
105.0561443	0.0267876506	0.5803333785	0	0.9898202765	0.2623993838	0.9618577957	0.9997653318	no	14.1240313190323	14.198102528125	14.06451427125	14.1165229135484	14.1080763690476	14.1436842466667	14.2841080526984	13.9676525630159
105.0738741	0.9502401321	0.8702605753	0	0.986512755	0.1773872532	0.8575017244	0.9997653318	no	14.7086324058065	14.668733655625	14.657732300625	14.6819995522581	14.6685270292063	14.6895126739683	14.299230867619	15.0588088355556
105.1103297	0.5168422964	0.9935674598	9e-10	0.9630275682	0.5335194529	0.6096523982	0.9997653318	no	17.6495881651613	17.507827794375	17.5133985346875	17.5570108090323	17.5574288374603	17.5550126026984	17.764870952381	17.3475704877778
106.0041261	0.876603211	0.7247431909	0	0.9630275682	0.735747249	0.875430059	0.9997653318	no	18.1650648264516	18.1494730128125	18.0484906309375	18.0528175129032	18.0570779584127	18.150686948254	17.6529445146032	18.5548203920635
106.0485311	0.0753120736	0.5132873041	0	0.9836611647	0.2880359676	0.8288403823	0.9997653318	no	14.083808623871	14.13204832875	14.0174359165625	14.0944886335484	14.0601142119048	14.1035478647619	14.2636803260317	13.8999817506349
106.0498515	0.7799680431	0.3706012588	0.0058786465	0.9836611647	0.6264693749	0.7537966065	0.9997653318	no	17.7948811093548	17.8755954440625	17.7477761396875	17.7216809658065	17.6789101050794	17.8919044188889	17.650899497619	17.9199150263492
106.0862363	0.730146682	0.4686598976	4.6e-09	0.9849222989	0.6833975159	0.7943792837	0.9997653318	no	16.5940061016129	16.6682516103125	16.8158017790625	16.662812096129	16.5756278720635	16.7966113753968	16.3100629663492	17.0621762811111
106.1112152	0.227441345	0.8901781396	0	0.9836611647	0.4879141869	0.3223058437	0.9997653318	no	14.3731154216129	14.273744826875	14.219032226875	14.3231747129032	14.2894957690476	14.3034226419048	14.4891873539683	14.1037310569841
106.9506127	0.0113643989	0.7390651618	8.089e-07	0.9548838135	0.6665139135	0.8536711016	0.9997653318	no	14.7411964864516	14.646984110625	14.87487426	14.740014893871	14.734035358254	14.767822112381	14.6395687649206	14.8622887057143
107.0008701	0.8848603965	0.7204211114	0	0.9630275682	0.735747249	0.8737608722	0.9997653318	no	18.3438269183871	18.331130474375	18.2307890246875	18.2356530116129	18.2381195163492	18.3324408296825	17.8352606720635	18.7352996739683
107.0488348	0.21933567	0.7275923664	0.0015226859	0.9155839987	0.2655715144	0.8564139804	0.9997653318	no	16.0082755512903	16.1023499040625	16.0567996965625	16.0096866880645	16.0313447795238	16.0583316750794	15.9933208520635	16.0963556025397
107.049029	0.0856708592	0.313869918	0	0.998206491	0.841536069	0.4588053489	0.9997653318	no	16.66844667	16.7563303146875	16.623294105625	16.6606864274194	16.6356265501587	16.7191529334921	16.8501944069841	16.5045850766667
108.0523225	0.9208462673	0.4363275409	2.624e-07	0.9804148203	0.90961772	0.9926897841	0.9997653318	no	14.0539299941935	14.0482193003125	14.0359771775	14.0660726596774	14.0243434355556	14.0774719542857	14.1223983365079	13.9794170533333
110.0347475	0.501438104	0.941687684	0	0.9388978747	0.108348619	0.4151289581	0.9997653318	no	13.9637728274194	13.9444793821875	14.0045661828125	13.950808643871	13.963920275873	13.9681667668254	13.7908592909524	14.141227751746
110.0347721	0.9081776793	0.4929540325	0	0.7955838155	0.6648786899	0.9069377456	0.9997653318	no	15.3941562035484	15.35653974875	15.3823616771875	15.3342292851613	15.32231273	15.4114141871429	15.7088749309524	15.0248519861905
110.0712676	0.7246728086	0.9155161632	1.78e-07	0.964711405	0.5551164021	0.9684464344	0.9997653318	no	17.6177421945161	17.5824666353125	17.702503750625	17.6153341254839	17.6375296592064	17.6219055514286	17.4506899028571	17.8087453077778
111.0745956	0.7790848503	0.7275923664	1.3e-09	0.9479224591	0.151176955	0.9725771932	0.9997653318	no	14.5949541396774	14.60275384	14.6416250378125	14.5593874283871	14.580916351746	14.6191584530159	14.4466346725397	14.7534401322222
