"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","PC124","PC125","PC126","PC127","PC128","PC129","PC130","PC131","PC132","PC133","PC134","PC135","PC136","PC137","PC138","PC139","PC140","PC141","PC142","PC143","PC144","PC145","PC146","PC147","PC148","PC149","PC150","PC151","PC152","PC153","PC154","PC155","PC156","PC157","PC158","PC159","PC160"
"X153",-20.554,-6.7382,10.514,-3.8021,-8.6431,1.9778,-0.45696,2.025,-1.5957,3.8693,-5.3651,3.623,-0.92046,4.7359,-0.8756,2.6069,-0.36549,0.7891,-0.1161,1.4626,-0.8082,2.6914,-0.68142,1.3427,-0.58264,-1.6188,2.2482,-0.67322,-0.77668,0.3201,2.1012,1.8146,-2.8732,0.42289,-0.72191,1.2236,-0.50465,0.21103,-0.46851,0.94781,-2.3704,2.5206,-1.5006,0.10508,-1.7294,0.0019582,0.26164,-2.3148,1.5352,-1.8155,1.1149,-1.9289,0.037028,0.73637,-1.0971,-0.48675,0.063665,1.5704,-0.50871,-0.54164,-0.9061,0.64791,0.11745,0.26466,0.63457,0.27945,-1.6571,-0.97264,0.26987,0.508,0.48679,-0.55362,-1.4125,-0.48664,0.49946,0.81944,0.011018,0.068365,0.11644,0.59074,-0.75585,-1.1074,-0.95301,1.1863,0.29924,0.0070924,0.65223,0.46022,0.40579,-1.6871,-0.52019,1.2972,0.24897,0.32182,0.2335,0.94554,0.21088,-0.54141,-0.27361,-0.38127,-0.88251,-0.49113,-0.17738,0.48096,1.7254,0.59869,-1.4149,-0.21166,-0.43488,-0.2297,-0.41252,-0.49691,0.73608,0.21046,0.56782,0.055533,1.1169,-0.25856,-0.79127,-0.11988,-0.54779,-0.30637,0.25412,0.016535,0.1691,0.27132,0.61998,1.3076,-0.16389,-0.44464,-0.42303,-0.012097,0.95964,0.069895,-0.27467,-0.31689,-0.29667,0.22354,0.25381,0.18149,-0.28566,-0.018984,-0.049147,0.092214,0.066096,0.10039,-0.0010604,-0.009602,-0.019941,-0.021735,0.0056995,0.028663,-0.014831,-0.016754,-0.025839,0.027051,0.007499,0.020037,-0.0066457,-4.0079e-14
"X154",-17.738,-14.814,-2.0914,0.98871,-9.7522,-1.8677,-2.3355,-1.7424,-3.3061,-1.9832,-3.2791,1.909,1.166,-2.6519,4.5624,6.1083,0.35995,0.9064,0.43623,-4.1233,-1.9813,-0.71054,1.7246,0.13014,-1.1068,2.6368,-0.31866,0.35152,-2.0988,1.7253,1.4868,0.23029,-1.562,-2.5599,-0.12116,-0.20765,0.3777,0.39979,1.8677,-0.96535,0.035047,-0.80384,-0.5639,0.88054,0.37628,-0.30074,0.7272,0.89382,0.99155,-0.23347,-0.15096,0.26166,-1.1711,-0.28401,-0.43691,0.076384,0.58525,0.81062,-0.010994,-0.64966,-1.5276,0.22821,0.89265,1.2338,0.1366,0.084033,0.58028,-0.46055,-0.58329,0.37127,-0.78083,-0.53474,-0.33923,0.24219,-0.28182,-0.79049,0.1392,-0.37739,1.1079,0.35801,0.44757,-0.14605,0.61309,-0.40854,0.23982,0.27449,-0.52006,0.59312,-0.52299,-0.51796,-0.97351,-1.4413,-0.1134,0.59785,1.5616,1.0316,-0.4196,0.89137,1.3134,1.0134,0.39135,1.4209,0.65113,0.37614,0.29528,-0.35049,0.59277,1.1807,0.81515,0.20588,0.17162,-1.3899,-1.069,-1.0903,0.23274,-0.97212,0.90675,0.55235,0.46104,-0.27738,0.81678,1.1928,-0.57305,1.0641,0.67868,-0.4047,-0.16158,-0.33888,-0.059039,-0.17128,-0.68447,-0.026521,0.41016,0.71281,-0.0092374,-0.0455,-0.54951,0.20361,-0.026871,0.317,-0.22504,0.11515,0.20573,0.12424,0.10416,0.00092008,0.098294,-0.094198,-0.10509,-0.033183,-0.059719,0.042734,-0.10836,-0.0041716,0.035727,-0.0090121,0.066156,0.0035152,-0.0029088,-4.0551e-14
"X155",-19.241,-17.139,-9.4425,4.0343,-4.2304,-0.00018443,1.0629,-4.3609,1.5385,-3.525,3.6339,3.1663,3.76,1.9011,0.053712,1.4059,-1.5759,2.5047,-0.15963,1.4186,1.9507,1.8998,-1.5613,0.18229,1.4912,-0.6796,0.21608,-1.5742,-0.97688,1.3779,1.4699,-0.21711,-1.0161,2.0281,-0.16186,0.40526,-0.95116,0.67639,-0.96867,1.0304,0.9437,0.97948,0.039914,1.1936,-0.63741,0.23523,0.59659,0.22671,-1.1983,0.64878,-0.92025,-0.19924,0.041871,-0.13763,-0.31751,0.258,-0.18207,0.85125,-0.11979,-0.012612,-0.55373,2.1676,-0.98964,1.0817,0.8228,0.47944,1.2762,0.12203,-0.90131,0.46289,0.60481,0.76315,0.096994,-0.95359,-0.47268,-0.74923,-0.04468,0.1477,-0.062758,-1.0073,1.4649,-0.99737,-0.99781,0.068569,-0.49621,-0.66969,1.1082,-0.27259,0.61658,1.1276,-0.016388,-0.17743,0.30507,-0.1822,-0.45157,0.8119,-0.65904,0.33026,-0.27692,0.38355,0.17358,0.17183,-0.55457,-0.8862,-0.46673,-0.34365,1.3139,-0.011964,-1.9055,0.37403,-0.3021,-0.46712,0.024874,-0.44409,-0.52346,1.7136,0.071176,1.6091,-0.28357,0.32641,1.2273,-0.28119,0.64063,-0.86955,-0.47942,0.74357,0.029502,-0.59563,-1.6312,-0.29425,-0.1779,-0.92419,0.15021,0.4985,-0.16527,-0.20644,-0.20984,-0.37569,0.37567,0.30089,-0.095522,-0.017259,-0.020733,-0.0093018,0.09836,0.021913,0.081517,0.063485,-0.004599,0.040479,0.040061,-0.037201,0.020108,0.047189,-0.015792,-0.033362,0.0033731,-0.034008,0.021414,-3.9246e-14
"X156",-15.941,-10.717,-9.6856,7.4372,-4.2304,-4.8275,-1.6822,-4.751,-2.7957,-1.6594,-3.1328,1.3315,0.19861,-1.6707,0.030018,-0.98972,-0.36526,1.5461,-2.4889,0.88608,-0.66868,0.33425,0.60101,-0.76812,1.8199,-1.9908,1.6147,-0.93511,-0.54885,1.0698,0.6684,0.84139,1.2148,1.5455,-0.94878,1.3414,-1.3567,-1.2866,-1.4485,-0.73597,0.45675,1.464,-1.8394,0.55324,-1.5251,0.73686,0.48197,0.030701,0.31619,-0.24229,-0.75696,0.92601,0.16857,-0.53388,-2.2898,1.4692,0.20441,0.64067,1.1537,0.018015,-0.253,0.51443,0.3331,0.31647,0.17325,-0.59858,-0.29638,1.5795,-0.86709,1.0495,-0.81742,0.4692,-1.5145,-0.14682,-0.61239,0.83858,1.2779,-0.59746,0.1729,0.28526,-0.94123,0.069818,0.90665,-1.0683,-0.37101,-0.36281,0.25674,-0.67863,0.52078,0.033148,-0.32413,1.006,0.13632,-0.64769,1.2724,-2.2592,0.64701,-0.59964,-1.2223,-0.82458,0.271,0.44325,0.051835,-0.37984,-0.0081319,0.28194,0.18022,-0.40875,0.15931,-0.31814,-0.17973,-0.11051,0.22993,0.20505,-1.3632,0.70029,0.018872,-0.20974,-0.016531,0.86034,0.85452,0.56884,0.92644,0.37164,0.75834,-0.88616,-1.2187,-0.29352,1.0099,0.0060461,0.31138,1.2351,-0.13384,0.6561,0.055686,0.92688,-0.34663,0.53209,-0.1657,-0.23573,-0.065137,0.0039443,0.018638,0.10375,-0.15197,-0.16633,0.082243,-0.094186,0.094055,-0.096139,0.14905,-0.068173,-0.039681,-0.015486,0.029323,0.028625,-0.0075386,-0.020502,-0.029589,-3.994e-14
"X157",-15.954,4.9713,9.6916,0.060142,-1.2398,-1.1213,-1.18,6.1097,5.5336,0.91686,0.20303,2.5397,-1.0093,-2.167,1.4801,-0.29762,0.55598,0.79328,-3.924,0.28383,-1.7625,-2.6452,-0.11128,-0.86745,3.9238,1.4399,-1.0455,-1.1186,-0.59043,0.18824,-0.95757,0.52928,-0.58803,-1.1095,0.71386,0.0538,-0.09056,-0.65442,0.97354,0.1466,0.26843,-0.33212,0.56634,0.069782,-0.33409,-0.12101,0.56659,1.7544,-1.0536,0.80437,-0.33918,0.10718,-1.9161,0.64885,-0.49412,1.132,0.86993,-0.18112,0.042979,1.072,0.27804,1.4195,0.68603,-0.60057,-0.33053,-0.0022687,-0.39372,-1.3815,-0.6906,0.60804,-0.21827,-0.38479,0.1779,-0.75726,0.64582,2.1121,1.9898,-0.81086,-0.23843,0.11531,0.054675,-0.52506,0.7829,-0.25781,0.18845,1.582,-0.69315,-0.46224,-1.5108,0.29578,0.21509,-0.36069,-0.036207,-1.5493,-0.46255,0.83143,0.30717,-0.31823,-2.683,-0.62514,-1.3923,1.0243,-0.37969,-0.20375,-0.0032178,-0.033459,-0.055172,0.046081,0.23296,-0.78316,-0.36213,0.10513,0.12337,-0.68831,0.84933,0.36087,-0.94327,-1.203,-0.40066,-0.90335,-0.49872,0.53757,-0.6308,-0.34597,-0.16662,0.24851,1.0113,-0.60413,-0.86346,-0.15038,-0.075058,0.084354,0.21534,1.164,0.0534,0.21739,0.26123,-0.044856,0.34581,0.18543,0.019114,-0.13036,-0.18282,0.015399,0.049306,-0.10213,0.006435,0.090487,-0.10006,0.047708,-0.15758,0.058977,-0.0007708,-0.0054949,-0.043193,-0.030528,0.026045,0.0024739,0.0041326,-3.9524e-14
"X158",-22.015,-13.896,-2.2139,-0.94755,-4.6079,2.4686,1.5761,-2.2159,-0.035113,-2.7468,2.5429,1.1028,-1.7174,2.9073,0.39742,-2.4517,-4.0725,-0.6201,-0.50484,1.2545,-0.81493,1.9526,-4.1361,-1.1896,-0.10813,0.99406,1.7243,0.81118,-0.62018,0.80699,-1.0713,1.1082,-1.583,-1.2665,0.082573,0.97988,-0.42316,1.0779,1.3977,1.6338,0.20961,-1.2778,-0.64267,-0.38552,1.7507,0.28876,-0.62094,0.15291,0.76137,-0.41808,-1.0745,-1.146,0.1963,0.81273,1.8883,0.26607,-0.046057,0.12776,-0.27107,0.15846,0.85339,-0.49127,0.028589,-0.8374,0.85457,0.05039,0.3391,-0.0061141,0.4612,-0.078609,0.14039,1.6396,0.56813,-0.14861,0.79557,-0.37302,-0.96679,-0.5929,0.022607,-0.78722,0.92119,-0.084596,0.17258,0.95926,-0.97253,0.76742,0.073771,1.1387,0.31409,0.3898,0.27858,-0.48524,-0.091852,0.37307,-0.53023,-0.17508,-0.32536,0.049115,-0.10386,0.24818,-0.3392,1.4087,0.17772,-0.14755,0.38363,-0.00086936,-0.74737,-1.0013,0.73347,-1.6503,0.40643,0.25357,-1.5712,-1.0462,1.1276,0.57137,-0.21171,0.60996,-0.76511,-0.69882,-0.24907,0.87807,1.7583,-0.7031,-0.72467,0.048672,-1.078,0.92657,0.72335,0.71825,-0.40323,1.0141,-0.61766,0.025035,0.18246,0.41798,-0.093362,0.26923,-0.30398,-0.14831,-0.10898,0.0271,-0.14444,0.043498,0.034487,-0.10493,-0.033287,0.020534,-0.036075,-0.023762,-0.028687,0.034894,0.019051,0.031397,-0.05614,0.050312,-0.036345,0.011238,-0.011747,-4.0246e-14
"X159",-10.449,3.9638,5.7343,6.5108,-1.5796,-4.115,-0.80011,4.9667,3.5717,1.3332,3.1532,7.9241,-0.9126,-2.3246,1.1303,-3.6307,0.75183,-0.41073,-4.4857,0.94497,-3.5836,-0.47219,1.4187,-0.46329,2.0327,0.34351,2.3141,0.79476,-0.48053,2.4232,-0.078603,-0.10982,4.3082,1.1946,-0.94451,0.41531,-1.5767,0.72805,-1.7363,0.26557,0.40922,0.15319,1.5392,-0.10489,-0.21289,-0.86139,-0.78743,-0.96362,1.5036,0.54206,-1.1595,0.98966,-0.61443,0.12676,0.79075,0.0053887,0.44007,1.5634,0.35829,0.77243,-0.96047,1.1887,1.0139,0.57831,0.076419,-0.24947,0.31862,0.8138,-0.21696,-0.9821,0.51798,-0.06079,-0.74146,-0.21646,0.38825,0.16776,-0.5386,0.67329,-0.4803,-0.18264,1.5643,-0.038651,1.5106,0.06278,-2.3058,-0.061104,0.75277,-0.60538,0.14992,0.58013,0.08186,-1.0657,0.14195,-0.19074,-0.14504,-0.93003,-0.72226,0.38483,0.58334,0.90107,0.37662,0.33152,-0.22936,-0.17629,0.77578,1.1922,-0.68687,-0.063428,1.5497,1.258,-0.39538,-0.081634,0.00067989,-0.3266,-0.15154,0.020508,1.1275,-0.23947,-0.46946,-0.005864,-1.4075,-1.0267,-0.81785,0.33523,-1.0729,-0.2163,-0.20753,0.043498,-0.22333,0.17675,0.23762,-0.6924,0.4957,-0.71162,-0.10562,0.13537,-0.15395,0.13365,-0.1709,-0.079167,-0.050692,-0.0024298,-0.039559,0.067855,-0.033014,-0.032975,0.10394,-0.03068,-0.025912,0.049904,-0.015936,-0.036993,-0.028872,-0.070223,0.035106,0.021981,-0.026445,0.012847,-0.042417,-4.0061e-14
"X160",-18.255,-14.231,-3.4131,1.9179,-5.491,0.26402,-0.38282,-3.8296,-3.9195,-1.5159,-3.2959,2.275,-0.82831,2.6686,1.1407,-0.18001,-2.5834,0.272,0.6172,0.97136,-1.9562,1.1863,-1.4049,1.0462,-0.13947,1.0546,-0.5356,-0.12863,0.017528,1.5948,-0.2989,0.1241,-1.7684,-0.42358,0.12058,0.80979,-0.623,0.72249,1.5946,0.010408,0.53476,-1.0237,1.0038,1.0561,-0.56366,0.57022,-0.3481,0.19907,1.8893,0.14893,0.19355,-0.99422,-0.71134,0.94447,-0.78458,0.78285,-0.83041,0.87549,0.15588,-0.27021,-0.01153,0.17613,1.3153,1.2406,0.26975,0.051882,0.092494,-0.12061,-0.78274,-0.39572,-0.70502,-0.43886,-0.46849,0.66237,0.19648,-0.72328,-1.0546,0.21987,1.8623,0.81095,-0.79912,0.20208,-0.090641,1.3196,-0.88436,0.44267,0.086512,-0.42935,-0.31003,0.37777,-0.41869,0.15879,0.16991,-0.34376,-0.92345,-0.048915,0.70297,-0.21881,-0.04878,0.9074,0.21642,0.12466,0.12878,-0.29542,-0.021462,-1.0779,0.77479,-0.39012,-0.25678,-0.15831,-0.92002,1.2212,0.21164,-0.065133,0.59909,0.3504,-1.1792,-1.6762,-0.90698,0.06342,0.50089,-0.77397,-0.47685,1.2197,1.4552,0.36565,-1.0069,-0.22006,0.17402,-0.26292,1.4067,-1.1207,-0.96639,-0.84052,0.18452,-0.46896,0.91684,-0.31169,0.013028,-0.11538,0.0040842,0.015469,0.036099,-0.12398,-0.099533,-0.0051659,-0.14608,0.046764,0.0037554,0.10985,-0.075145,0.027983,-0.024962,-0.035537,-0.054998,-0.0027964,0.0072904,0.030706,0.036869,-4.0468e-14
"X177",-17.555,-3.1431,8.5248,-14.081,-12.465,1.3968,-0.7491,1.5833,-7.4533,4.5117,1.618,-0.89006,-1.9881,1.7775,1.2963,3.7042,-1.4686,-1.8358,6.8259,0.8989,-1.7363,1.1527,0.77876,-1.764,0.53466,-1.6867,2.2023,0.75443,1.3036,-0.67722,-0.67837,1.3208,0.6714,0.61103,0.22361,-0.917,-0.7462,0.78457,0.63556,-0.098747,1.0889,0.10337,-0.78765,-0.060751,-0.35137,1.759,-1.2175,0.79065,0.30554,0.37212,-0.25804,1.3115,-0.8757,1.3368,0.26663,0.29453,0.90081,-0.61021,0.45164,-0.00087049,-1.1205,-0.7339,-0.60608,-1.5683,-0.4936,0.36145,1.1162,-0.78784,-0.51465,-0.28962,0.47073,-1.2102,0.74731,0.12955,1.3484,0.98253,0.15613,-0.51273,-0.40793,-0.21334,-0.80109,0.13494,1.2581,-0.85763,0.98274,-0.80554,-0.89265,-0.64894,-0.45299,0.44809,-0.35707,0.74781,-1.3221,-0.18863,-1.47,-0.29662,2.8143,0.20243,1.1259,-0.17635,2.0274,0.41948,-0.19959,-0.77305,-0.59304,0.39924,-0.87187,0.71863,0.4301,0.19593,-1.4887,-0.45099,-0.43136,0.20019,-0.41297,0.58404,0.31207,0.84493,-0.63543,-0.3847,-0.46462,-0.14658,0.5052,-0.18853,0.13478,0.64352,-0.0401,-0.29993,-0.50406,-0.1682,0.19688,-0.06829,0.22611,0.0062736,0.26297,-0.026827,-0.14927,0.14739,0.0049336,0.21486,-0.047031,-0.03153,-0.061325,-0.16384,0.090876,0.018209,-0.10628,0.050416,0.059953,-0.0070424,0.060154,-0.021958,0.032366,0.030771,-0.051643,-0.03487,0.033678,-0.0091641,0.012409,-4.044e-14
"X178",-12.596,-0.23469,10.212,-6.3724,-9.7241,-3.7019,-3.6783,3.9824,-4.1612,3.4064,-4.8904,4.7725,-1.758,-2.1602,1.9294,1.5744,-0.91636,1.788,-3.5059,-1.1339,1.3603,-3.5376,-0.81995,-0.12812,0.46716,0.092451,-0.38263,-1.6941,1.6405,1.1011,-0.35455,0.53084,-0.76028,-0.75557,1.0174,0.69628,1.0589,-0.65908,-0.76971,-1.1512,0.81754,-2.4676,0.016162,0.30524,-0.94899,0.44198,1.1607,0.46379,0.025092,-0.74018,-0.31981,1.0909,0.20246,-0.23746,-0.61772,-0.10324,0.14391,-1.0942,0.46452,0.17762,0.11348,-0.72059,-0.33488,-0.64887,0.26967,0.81487,0.34313,-1.2969,-0.32667,0.13563,-0.17533,0.37394,0.61355,-0.37803,-0.025834,0.2145,-0.28388,-0.81518,0.32189,-0.36219,0.48018,-0.56468,-0.067787,-0.43149,0.7074,-0.034419,0.22004,0.73512,-0.87334,0.64635,0.056539,-0.30134,-0.37394,-0.88697,0.13948,0.82009,-0.085742,0.30834,-1.033,-0.73928,0.50648,-1.099,-0.20544,-0.88965,-0.099134,0.71115,0.51549,0.24443,-0.84546,1.4204,0.42952,1.2759,0.48385,-0.84042,0.42285,-0.17122,0.040948,0.69633,0.61837,0.88254,0.40677,-0.41755,-0.77829,-0.50487,0.0092694,0.76003,-1.6277,1.7195,0.80759,0.70292,-0.24742,0.6059,1.0721,-1.167,0.26156,-0.25812,0.086879,-0.27899,-0.60363,0.15084,-0.23342,0.10503,0.033282,0.074336,0.11716,-0.041054,-0.016663,0.021299,-0.052276,0.086765,0.01544,-0.065832,0.0046746,0.061538,-0.028329,0.040696,-0.011443,0.00021072,0.021357,-4.0468e-14
