"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","PC124","PC125","PC126","PC127","PC128","PC129","PC130","PC131","PC132","PC133","PC134","PC135","PC136","PC137","PC138","PC139","PC140","PC141","PC142","PC143","PC144","PC145","PC146","PC147","PC148","PC149","PC150","PC151","PC152","PC153","PC154","PC155","PC156","PC157","PC158","PC159"
"X145",-15.397,-4.259,1.5982,-5.657,2.612,-4.1795,1.0337,-1.948,7.0455,-4.1916,3.2902,2.383,-1.3652,2.2718,-3.8054,2.7053,-1.8369,1.7992,-1.4228,2.9811,-2.0938,0.19627,-1.932,1.6988,1.3259,-1.4911,0.73229,2.1502,-1.3373,-0.36806,-0.50914,0.17913,-1.8717,2.218,-1.5052,1.7265,-0.10676,1.0764,-0.13181,0.078471,-1.2018,0.67648,-1.0005,0.055806,-1.4694,-1.2268,0.34033,-0.30299,1.3672,0.64455,-0.67601,0.89395,0.72738,-0.23005,-1.6439,0.08327,1.2147,-0.76726,-0.87559,0.93946,0.19785,0.63326,-0.059367,-1.1375,-0.89743,1.8781,0.10727,-0.13635,-1.426,-0.22091,2.3074,0.57886,0.24713,0.01172,-0.9484,-0.037382,-0.4034,-1.1262,0.58717,0.12933,0.30418,0.15915,0.34227,-1.3924,-0.35718,-0.21059,-0.30584,-0.24965,0.62926,0.14618,0.0031476,0.45609,1.1099,-1.1372,-0.4248,-0.84391,0.71524,0.93888,0.0062751,0.60735,1.2518,-0.059099,-2.4189,-0.18381,-0.15645,-0.31527,-0.11846,1.0244,0.35984,0.34543,0.59323,0.78893,-0.19647,-0.24709,-0.13122,-2.2407,0.55721,0.67148,0.062402,0.34957,0.014708,-0.63976,-0.44009,-0.39846,-0.83517,-0.34504,1.417,0.91344,-0.49888,-0.15426,-0.29703,-0.087509,-0.24329,0.10173,0.45021,0.14841,-0.2979,-0.079209,-0.32555,0.11709,0.10971,0.080082,0.037044,-0.1941,-0.046409,0.07481,0.034604,0.08435,-0.057033,-0.0061559,-0.03749,-0.083247,0.098794,0.049601,0.013736,-0.025801,-0.038404,0.026068,4.0065e-14
"X146",-18.298,1.6953,9.7597,-4.3626,7.0746,0.1626,5.2844,-4.9315,1.6291,0.24076,-4.6515,-1.178,1.6817,-5.4366,-3.3554,0.34021,-2.3994,-3.6848,-1.1661,0.92054,0.35377,2.1056,-1.2942,1.4091,0.1047,-0.4888,1.0663,-2.5921,0.8613,1.1612,0.53201,-0.3532,-2.1911,0.47326,0.021798,1.8212,-1.9753,-1.5457,0.41985,-1.5503,-1.1346,-0.98702,0.70706,0.98569,1.8449,-0.51465,1.2481,2.4516,0.65797,0.34921,1.819,0.69357,0.34131,1.4517,-0.65357,-3.1159,0.056249,-0.23778,-0.87619,-0.26091,-0.82402,1.6497,0.16229,1.1059,-0.66259,3.3705,-0.81962,-0.5348,1.465,-0.69385,0.53608,1.2306,-0.78959,-0.76208,0.98657,0.74643,-1.3273,1.1004,0.014806,-0.37096,-0.33764,-0.69056,-1.8651,0.537,0.17863,-0.4247,0.4767,-0.271,-0.80874,0.90559,0.056908,1.0246,-1.1163,-0.23383,0.73707,-0.37901,1.6263,0.14996,0.71674,-0.61856,-1.0076,1.1638,0.84511,-0.50841,0.75877,1.1643,0.18466,-0.10555,-0.47724,0.18502,-0.42306,0.82174,-0.31643,0.54617,0.30843,0.067977,0.40853,0.36988,-0.25489,-0.36351,0.5882,0.1555,0.38788,0.70239,-0.18745,-0.29156,0.3822,0.17588,0.47138,-0.47342,-0.74795,0.11229,-0.14424,0.1256,-0.37801,-0.018243,0.12243,0.047547,0.15244,0.0074675,0.10915,-0.02449,-0.067415,0.029722,0.01688,0.0079782,-0.046642,0.021625,0.029154,0.0056643,-0.028156,0.069147,0.020941,0.031504,0.0092701,-0.02972,0.035998,0.0057142,3.8358e-14
"X147",-19.087,-7.8001,6.3089,0.62801,-3.1256,-3.4146,-1.4076,2.094,3.8837,-0.7096,6.4547,-2.5604,2.7254,1.5604,1.0105,-0.36843,-0.022309,-2.9837,-0.33886,4.1328,-1.7029,0.48209,-1.5165,-0.21299,-3.3124,0.38213,-0.79168,-5.6999,-1.7367,2.5403,-1.2733,-0.48411,-2.7708,0.28102,-1.0506,0.46649,-0.19777,1.2687,-0.74633,0.59406,-1.1831,-0.0097744,0.96279,0.35494,-3.1697,-0.034164,-0.38928,-0.64194,1.2415,-1.2076,1.8078,0.6056,0.37899,0.92708,0.45574,1.0675,-1.2283,1.5572,2.4584,-0.18239,-0.54961,-1.161,-1.4764,-0.81101,1.0169,0.1186,1.0191,-0.41932,0.47713,1.3428,1.135,-2.9401,0.54612,1.1832,-0.8736,-1.0795,-0.97559,1.5665,-0.13261,-0.11569,-1.8917,-0.18574,0.48127,0.4043,0.21117,-1.9219,-0.31908,0.26006,0.78833,0.7812,-1.3647,-0.70874,-0.58914,0.38496,1.0946,0.52273,1.2774,-0.0015825,0.48642,-0.77965,1.1456,0.65019,0.38612,0.52411,-0.1654,-0.97989,-0.67814,0.61652,0.49475,-0.21137,-0.62562,0.54936,-0.038928,-0.079568,0.29784,0.65215,-0.47552,-0.063142,-0.0043737,0.37228,-0.24293,0.078156,-0.21836,0.086799,-0.25742,-0.31661,-0.155,0.22369,-0.14776,-0.27489,0.12405,0.20126,0.05968,0.14044,-0.17203,-0.13325,0.081323,0.27607,0.11884,0.02777,0.00055147,-0.056198,0.024186,-0.043265,-0.001092,-0.029258,-0.020088,-0.060984,0.0096495,0.026415,0.010813,-0.015311,0.03046,-0.023943,-0.014126,-0.032502,0.0021472,-0.027425,3.9108e-14
"X148",-18.359,12.766,-6.248,2.1494,7.0289,0.23402,-9.2967,4.1934,-1.4272,-0.94737,2.8482,-1.09,-1.2794,2.752,-0.31476,-0.47836,0.18295,2.8229,-0.60178,-1.355,-0.53667,-1.6726,-2.0136,2.072,-0.10937,-1.2702,-1.783,0.99733,-0.044764,0.010559,-2.2269,2.1075,-1.3916,2.6436,-1.4744,2.1222,-2.0188,-2.0646,0.84404,1.1527,-1.571,0.15472,-0.7081,-0.23998,-0.038861,-0.59521,0.02553,1.0875,0.042199,0.40281,-0.33331,0.73865,-0.073685,0.17596,-0.77999,-0.19924,-0.9251,-0.19389,0.74572,-1.1284,0.25507,-0.19912,-1.1212,0.32751,-0.11484,0.76698,0.61963,0.42029,0.36081,0.70697,-2.7323,0.12527,-1.1786,0.34286,-1.3022,0.27385,-0.19448,-0.05286,-0.25037,1.4156,0.74059,-0.72028,0.17544,-0.25985,0.60724,1.0329,-0.42087,0.55505,-0.26366,-0.052447,-0.78285,1.0138,1.1472,0.48503,0.82876,1.0979,-0.61897,-1.5034,-0.53943,0.5779,-0.26834,0.68833,-0.44438,0.56223,-0.13916,-0.18937,-0.076546,-0.56414,-0.064272,0.3359,-1.5791,0.51115,0.10012,-0.32307,-0.34248,-0.37185,-0.72676,-0.42921,1.3398,0.028581,2.1657,0.29077,0.6651,-0.11129,0.20917,1.0039,0.13513,0.74024,0.82296,-0.73587,0.91778,-0.39978,0.76222,0.27207,0.027399,-0.12438,-0.047539,-0.1514,0.032783,0.24437,0.092891,0.12336,-0.038815,-0.12764,0.12975,-0.068352,-0.0083141,0.02501,-0.028957,-0.0039449,0.07704,-0.0069384,0.017827,0.063101,-0.036389,0.049366,-0.020808,0.021659,4.0704e-14
"X149",-15.93,14.264,-9.9577,3.9571,7.3206,-2.7257,-5.6861,0.96877,-3.6232,-3.1943,-5.283,1.2468,1.6996,-2.5863,-1.3902,1.5783,-1.1891,2.7438,-1.0032,2.5504,-1.5612,1.791,0.45404,0.73604,-1.3898,0.66083,-0.5811,-0.46968,2.7537,-1.645,0.13892,-0.69444,-1.5073,1.3533,-1.1223,1.0067,-2.1906,0.16739,0.46941,0.17899,-0.41081,-0.96577,-0.21611,-1.5835,-0.044718,0.28837,1.125,0.83169,-1.6503,0.032404,0.94791,-0.28867,0.065815,-0.098212,0.8811,0.31694,-0.42309,-0.32749,0.6578,-0.26983,0.16944,-0.035377,0.074893,0.94933,0.75075,0.1236,-0.55336,0.063154,1.0767,-0.21077,0.38234,-1.276,-0.58952,0.39116,-0.39986,-0.28096,0.42284,-0.47148,1.0861,1.2082,-1.0934,1.5521,0.19689,-0.61197,1.0258,0.64531,-0.44997,0.015779,-1.1223,-0.53587,0.26563,-0.88831,1.4734,-0.21893,-0.28874,1.333,-0.34862,0.453,-1.3257,-0.65273,0.96778,1.1332,0.85642,1.5095,0.3855,0.20946,1.0871,-0.28488,-1.3403,-2.3184,0.75905,-0.24029,1.7299,0.1775,0.4376,-0.87391,1.1673,0.016844,0.014549,0.17009,-0.68665,-0.30546,-0.3646,0.37735,-0.70086,-0.35391,-0.4216,-0.34106,-0.15579,0.46286,-0.77497,-0.15708,0.49094,-0.389,0.37972,0.51811,-0.17345,-0.10722,0.31388,0.08256,0.014734,-0.13791,0.020398,-0.2036,0.00054491,0.011733,-0.076591,-0.083768,0.033272,0.0013412,0.028296,-0.0028081,-0.09266,-0.044351,0.025202,-0.015753,0.0032539,-0.0091475,4.0329e-14
"X150",-14.73,-2.2679,9.6145,8.2064,6.8611,0.089086,1.2927,-1.9201,-0.98258,4.3727,-3.6349,-5.889,1.95,2.9753,-1.5438,-2.8622,5.9741,1.904,-1.1491,1.7346,-0.76242,2.2617,-2.5708,2.3889,-0.65002,0.31116,-1.6663,-1.6568,0.90295,-0.2554,-1.7346,0.13247,-0.77525,0.50365,-0.078733,-0.81712,-1.6643,-0.42902,0.29723,0.85552,-1.8197,0.99114,-1.4999,-0.77748,1.5314,1.2165,1.0288,-0.36047,-0.4405,0.65205,-0.51095,1.0475,-0.78651,0.020219,1.1925,-0.44571,0.35454,-0.59296,-0.79741,-1.3474,-0.1873,-0.31426,1.0419,1.3063,-0.31739,-0.65408,-0.34699,0.6264,-0.93786,0.24942,0.52855,0.30672,-0.64162,-0.0053189,-0.18064,0.65899,-0.55165,-0.76234,2.8266,-1.6843,1.1243,1.4809,0.48307,-0.76889,-0.63574,0.81162,0.2256,-0.3763,0.84671,0.21227,1.8813,-0.65085,0.82932,0.53445,0.8044,0.62862,0.54095,0.30217,2.0576,-0.38621,1.9221,0.26907,0.17764,-0.18769,0.3397,-0.60584,-1.1827,-1.0245,1.7792,-0.12815,-0.23026,-0.44006,-1.1567,0.51889,-0.88442,0.19235,-0.20306,0.017522,-0.88713,-0.51544,-0.45136,0.80817,-0.07099,0.18276,0.15306,0.60862,-0.36239,0.04949,0.14386,0.17264,-0.0084252,-0.0637,0.11309,-0.12251,0.078463,-0.095745,0.17469,-0.108,-0.024754,0.04975,-0.03094,0.070233,0.070639,0.051689,-0.0057123,-0.021313,0.027545,0.085389,-0.02483,-0.0038764,0.028216,0.023939,-0.0039349,-0.0078281,0.0036378,0.013155,0.0050167,-0.039625,4.0329e-14
"X151",-15.662,-3.958,5.7962,-1.7139,2.4744,-2.0881,5.7322,-3.8242,3.0934,2.0783,-1.9612,2.3807,1.7003,0.91388,-2.9961,1.9855,0.083516,0.66123,-1.9507,0.74571,-5.2463,3.8019,2.9444,2.3487,-1.1313,-0.025778,-2.8247,-1.0935,-3.1878,-3.8069,-0.99664,0.31477,-2.7876,2.3365,0.031213,2.2853,2.1438,-0.4959,-1.5128,1.4816,-1.1074,0.4894,-1.0342,-1.9531,1.1654,1.3374,0.17343,-1.3361,-2.1019,-0.70546,-0.68565,2.9307,0.86838,-0.6755,-0.3489,1.0144,0.77469,-0.18325,0.53051,-1.7087,-0.14783,-0.30911,2.4284,0.071574,-0.79755,0.23315,-0.096894,0.3254,1.1541,1.2659,-0.65932,-0.3265,0.94537,1.7305,0.49065,-0.21762,1.5371,-0.667,-1.3819,0.0018425,-0.67877,0.87606,0.53914,0.78577,-0.06581,-0.62553,-0.4971,-0.39638,-1.9912,0.55429,0.13805,0.2377,-1.0357,-0.13975,0.033886,-0.32125,-0.71181,-0.70491,0.49667,0.45165,-1.535,-0.96704,0.60463,-0.37891,0.27721,-1.0782,0.26821,-0.32468,-0.69948,0.8798,0.40334,0.55411,-1.0437,-0.14772,0.77099,-0.044619,0.3041,-0.12518,0.48733,-0.6784,-0.26656,-0.57625,-0.35185,0.28744,0.62993,0.31003,0.057093,-0.066373,-0.43836,0.24484,-0.041572,-0.032567,-0.11445,-0.075166,0.11653,-0.2005,-0.084531,-0.046326,-0.17064,-0.099896,0.057913,-0.022668,0.11725,0.058375,0.043062,0.079125,-0.0017413,0.0083782,-0.064845,-0.059133,-0.017206,0.0053437,-0.03694,-0.0079948,-0.018891,0.011659,-0.0065985,0.016689,4.1148e-14
"X152",-18.457,8.7161,-6.9336,4.4531,4.1705,-1.0722,-7.2958,5.649,-1.294,-4.3181,-0.77387,-0.069646,-0.72001,1.605,1.5815,0.059417,-0.77138,0.071822,-0.68199,0.29567,1.6933,-0.79433,-4.7692,0.79066,-1.5751,-1.1919,2.0251,-0.15845,0.41544,1.9787,-1.063,-0.49467,-1.1083,0.019091,-0.85408,1.7664,0.84193,-0.90743,-1.3176,0.31596,-1.6283,-0.28298,-2.7281,-2.8702,1.9208,0.15801,-0.27336,2.2562,-2.1093,-2.7394,-1.135,0.3469,-1.8917,-0.27066,-0.72039,-2.0111,0.62367,0.024765,2.2696,0.25041,0.021254,-0.42611,-1.2652,-1.5943,0.41965,-0.3767,0.026971,2.3738,0.32177,0.90981,0.01448,0.5089,-0.77603,-1.3679,-0.55194,-0.68378,-1.4189,0.86732,0.4456,0.68906,-0.46662,-1.0192,0.33656,0.024212,-0.12431,-0.8892,0.33807,-1.3026,0.65165,0.20633,0.41643,0.79947,0.28208,-0.31845,-1.5027,-1.3313,-0.99286,0.29197,-0.98654,-0.33222,-0.84867,-0.19904,-0.47577,0.32326,-0.0023639,0.020113,0.14796,-0.39966,-0.042842,1.1625,0.22386,0.10279,-0.28903,-0.284,-0.78307,0.71681,0.48448,-1.0081,-0.86793,-0.55758,-1.3187,0.14912,0.32487,-0.039775,-0.28696,-0.31131,-0.60872,-0.16161,-0.47666,0.13562,-0.0037831,-0.011639,-0.94861,-0.041163,0.063426,-0.052407,0.067661,0.18627,-0.14228,-0.23849,-0.13324,0.0072759,-0.050336,0.11991,-0.02285,-0.018721,0.028846,-0.0035372,0.0203,0.043591,-0.033207,0.024364,-0.044633,-0.0038395,0.011105,-0.049078,-0.027596,-0.0085055,3.9163e-14
"X169",-13.089,3.1297,3.155,-10.855,10.774,-1.5515,-3.4555,-2.8955,7.6275,5.6345,-1.6568,0.19382,-3.1299,-3.4746,-2.9073,0.93709,-2.2847,3.0691,0.72714,0.43499,-0.019781,-0.41876,-3.7404,1.7015,2.5309,-0.89501,1.5096,0.78006,1.2586,-0.97351,1.5213,-2.3342,1.6415,2.1022,-2.1389,0.23121,-0.41722,-0.1477,1.3802,-1.3337,0.35817,2.3516,-1.0986,0.85499,-0.13169,0.3731,-2.0248,-0.19985,-0.74563,1.6661,-0.56148,-0.53776,0.38333,0.88737,-0.50776,-0.17294,0.20908,-0.63503,-0.055477,-1.1886,1.6481,-0.4603,-1.3064,-1.8017,0.6336,-0.80429,0.50225,-0.50976,0.8769,-0.50978,0.2297,-0.96112,1.334,-0.31081,-2.1782,0.28683,1.1012,0.36078,0.85295,-1.2491,0.90635,1.5549,-0.42176,0.63886,-1.1837,-0.9521,-0.46679,-0.76085,0.8972,-0.91946,-0.79837,-0.16112,-0.78412,-0.65277,0.49526,-1.2715,0.005802,0.0209,0.31596,-0.75688,-0.086884,-0.80607,1.1254,-1.4347,-0.3762,-0.35217,0.074942,-1.2621,-1.568,0.031266,0.43235,0.40825,0.99721,-0.88102,0.043561,0.64541,-0.76937,-0.47773,0.11267,0.062155,0.16108,1.1904,-0.4468,-0.19759,-0.2064,0.065081,-0.26461,-0.045957,0.33238,-0.48296,-0.29146,0.48723,0.49434,-0.066072,0.051945,0.26037,-0.24297,0.041357,0.024033,0.050839,0.053855,-0.0081449,0.13223,-0.007042,-0.011865,-0.042548,-0.044453,0.025694,-0.022185,-0.007033,-0.030375,0.023804,0.011416,-0.034602,0.0051368,0.0093819,-0.029255,0.0023405,3.9982e-14
"X170",-15.264,10.543,-3.8864,-4.518,5.5019,-3.0992,-10.303,3.2344,2.0927,0.44587,3.5285,-2.1694,1.2083,2.8218,-1.4117,0.10827,-0.15919,0.32859,-0.64311,2.5811,-0.97086,-1.8388,3.3356,2.4083,0.22957,1.0741,-0.062685,-2.0385,1.3554,1.3136,2.8305,0.082082,0.25799,-0.15342,-0.39254,-0.16566,0.51267,-0.66684,-0.22409,-0.46417,0.66432,0.46384,2.1839,1.7112,0.66052,-0.32792,0.43047,1.4112,-0.064986,0.52064,0.23797,0.4747,0.46964,-0.18156,0.32005,-0.48265,-0.084542,0.11638,-0.65999,-0.30901,0.69127,0.34646,0.32876,0.33364,0.11786,1.1544,0.31152,0.38564,-0.44173,0.40707,0.3061,0.037106,-0.24958,0.35981,0.16673,-0.65797,0.75498,-1.0509,-0.24993,-0.0026345,-0.18524,-0.92133,-0.11171,0.12329,0.067913,-0.71235,0.52362,-0.29564,-0.25089,-0.67274,-1.4027,-0.5011,-0.57517,-1.4321,-0.18612,0.27966,-1.4971,-1.2903,0.9706,-0.090231,-0.18641,-0.7199,0.9304,0.36873,-0.16209,0.27929,0.86008,-0.13238,0.41392,-0.22694,-0.46939,0.061794,-0.13741,1.2488,-1.6994,-0.35932,0.97,1.2808,-0.5884,0.1027,-1.5492,0.49952,-0.45447,-2.806,0.69994,0.10521,0.026263,0.20512,0.86439,-0.2143,0.2176,-0.35247,-0.085964,0.18464,-0.018601,-0.30075,-0.01919,-0.19745,0.11392,0.037637,-0.1824,0.16692,-0.25235,0.01733,0.10833,0.00056211,0.086631,-0.048605,0.017174,0.059107,0.056479,0.011951,-0.054873,0.051604,0.039341,-0.003044,0.010644,0.038422,4.0815e-14
