pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Histidine metabolism - Homo sapiens (human),KEGG,16,C16674;C00388;C05130;C05133;C00386;C02835;C01152;C00025;C05568;C00049;C00439;C01929;C00135;C00785;C03680;C16673,47 (47),1.52e-14,6.49e-11
Arginine and proline metabolism - Homo sapiens (human),KEGG,18,C00077;C02714;C00148;C02565;C02305;C00436;C05941;C05942;C00025;C02647;C04281;C04282;C01877;C00763;C05938;C03771;C00433;C00022,78 (78),6e-13,1.28e-09
Amino acid and oligopeptide SLC transporters,Reactome,14,C00077;C00064;C00163;C00148;C00402;C00022;C00740;C00025;C00033;C00049;C00491;C00080;C03283;C00135,44 (50),2.19e-12,2.66e-09
Metabolism of amino acids and derivatives,Reactome,29,C00077;C00388;C02305;C00033;C00153;C00740;C00148;C02220;C00402;C00449;C05665;C00087;C00049;C00080;C00122;C00064;C00386;C00164;C00022;C00025;C00109;C03680;C00439;C01005;C00349;C04281;C03793;C00785;C00135,246 (285),2.49e-12,2.66e-09
Biochemical Pathways Part I,Wikipathways,39,C00077;C00074;C00388;C02305;C00763;C00449;C00429;C00418;C00178;C00188;C05942;C00979;C01888;C00049;C00491;C00475;C00232;C00122;C00064;C00065;C00163;C00148;C00164;C00022;C00258;C00025;C00109;C03680;C05938;C00439;C00263;C01005;C00222;C04281;C04282;C06002;C02220;C00785;C00135,456 (467),5.88e-12,5.02e-09
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,14,C00077;C00064;C00163;C00148;C00402;C00022;C00740;C00025;C00033;C00049;C00491;C00080;C03283;C00135,50 (56),1.56e-11,1.11e-08
Histidine metabolism,EHMN,13,C05665;C00222;C05130;C00033;C00386;C02835;C00025;C03680;C00388;C00080;C00785;C00439;C00135,45 (45),5.62e-11,3.43e-08
Protein digestion and absorption - Homo sapiens (human),KEGG,12,C00064;C00065;C00163;C00148;C00388;C00188;C00033;C00025;C00049;C00491;C00080;C00135,47 (47),1.58e-09,8.43e-07
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,18,C02714;C00065;C00148;C04281;C00033;C00022;C00025;C00109;C01879;C00402;C04282;C00049;C05938;C00080;C00232;C00064;C00077;C00122,125 (125),2.43e-09,9.56e-07
Histidine Metabolism,SMPDB,11,C00388;C00025;C00386;C02835;C01152;C03680;C00080;C00135;C00785;C00439;C05130,39 (40),2.46e-09,9.56e-07
Histidinemia,SMPDB,11,C00388;C00025;C00386;C02835;C01152;C03680;C00080;C00135;C00785;C00439;C05130,39 (40),2.46e-09,9.56e-07
Histidine_ lysine_ phenylalanine_ tyrosine_ proline and tryptophan catabolism,Reactome,15,C00148;C00388;C00022;C00386;C00025;C03680;C00164;C00049;C02220;C00080;C00449;C00135;C00785;C00439;C00122,85 (91),3.31e-09,1.13e-06
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,12,C00065;C05519;C00263;C00188;C00022;C00258;C01005;C00740;C00109;C01888;C00049;C03283,50 (50),3.43e-09,1.13e-06
Amino Acid metabolism,Wikipathways,16,C00064;C00065;C00148;C05130;C02305;C00188;C00077;C00025;C00109;C00388;C00074;C00049;C00349;C00135;C00022;C00122,105 (108),8.85e-09,2.7e-06
