pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Amino acid transport across the plasma membrane,Reactome,9,C00077;C00064;C00062;C00025;C00740;C00080;C00334;C00047;C00135,29 (32),3.82e-09,1.63e-05
tRNA charging,HumanCyc,8,C00064;C00065;C00013;C00062;C00025;C00080;C00047;C00135,24 (24),1.56e-08,3.34e-05
Central carbon metabolism in cancer - Homo sapiens (human),KEGG,9,C00158;C00064;C00074;C00062;C00065;C00025;C00026;C00311;C00135,37 (37),4.13e-08,5.88e-05
Amino Acid metabolism,Wikipathways,13,C00158;C00064;C02305;C00074;C05130;C00062;C00065;C00417;C00025;C00026;C00311;C00077;C00135,105 (108),1.91e-07,0.000149
Glycine_ serine_ alanine and threonine metabolism,EHMN,12,C00077;C00065;C00013;C02305;C00062;C01005;C00025;C00026;C01026;C00080;C00064;C00047,88 (88),1.99e-07,0.000149
Amino acid and oligopeptide SLC transporters,Reactome,9,C00077;C00064;C00062;C00025;C00740;C00080;C00334;C00047;C00135,44 (50),2.09e-07,0.000149
serine and glycine biosynthesis,HumanCyc,6,C00065;C01005;C00025;C00026;C00740;C00080,15 (15),3.14e-07,0.000179
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,8,C00064;C00065;C00062;C00025;C00026;C00080;C00047;C00135,35 (35),4.14e-07,0.000179
Miscellaneous transport and binding events,Reactome,5,C00013;C00135;C00062;C00080;C00047,9 (10),4.33e-07,0.000179
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),KEGG,10,C00158;C00065;C01990;C00417;C00025;C00026;C00311;C00064;C03618;C01380,62 (62),4.49e-07,0.000179
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,9,C00679;C20889;C20896;C03921;C00026;C00818;C00879;C05422;C04575,48 (48),4.61e-07,0.000179
Metabolism of amino acids and derivatives,Reactome,19,C00077;C05698;C05689;C00153;C02305;C00062;C00386;C01005;C00740;C00026;C00025;C00087;C00322;C01026;C00080;C00064;C00013;C00047;C00135,246 (285),5.03e-07,0.000179
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,9,C00077;C00064;C00062;C00025;C00740;C00080;C00334;C00047;C00135,50 (56),6.65e-07,0.000218
