"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.purple","p.MM.purple","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.blue","p.MM.blue","MM.yellow","p.MM.yellow","MM.cyan","p.MM.cyan","MM.greenyellow","p.MM.greenyellow","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.green","p.MM.green","MM.brown","p.MM.brown","MM.tan","p.MM.tan","MM.black","p.MM.black","MM.salmon","p.MM.salmon","MM.red","p.MM.red"
"166.1055222","166.1055222",70776.827,"","","","black",0.304121875394594,0.0253657039207773,-0.285550276577571,0.0363442060160068,0.0037476168175455,0.978543530687286,0.0385822174444604,0.781788311844618,-0.228134878580964,0.0970805271595398,-0.188414304521725,0.172436795243781,-0.275982743725652,0.0433818900129532,-0.132221825960002,0.340546356086409,0.185950604082922,0.178220545314022,-0.141127561201569,0.308720218403229,0.572121493620504,6.19581597996561e-06,-0.41616691258319,0.00174838519681954,0.367114536772287,0.00632062753067895,-0.692757291688908,6.4702557353875e-09,0.0995056156971936,0.474062960280813,0.635221220544807,2.47451607910482e-07
"165.1022124","165.1022124",1086746.55,"","","","black",0.28368803346017,0.037634515347563,-0.361950559399559,0.00715805137880233,0.11577430758002,0.404469439267997,0.196697435519655,0.153991589322825,-0.298807215562518,0.0281773200406709,-0.246407823636623,0.0724692819213454,-0.216212344738187,0.116347506742663,-0.0943767743393168,0.49725529850419,0.0909275894642161,0.513175825860758,-0.229678286569857,0.0947791644622489,0.559440376654888,1.09449694798683e-05,-0.50859007437242,8.61425498756686e-05,0.549508600722598,1.68184765097783e-05,-0.691625436060571,7.00728485944981e-09,-0.0320823646625834,0.81785937736545,0.684524467651877,1.146246529377e-08
"351.88137","351.88137",1273168.67,"","","","black",-0.239301692338337,0.0813730542489075,0.307720592676542,0.023598867606644,-0.103426060143071,0.456731992478002,-0.203266662670321,0.140431240336574,0.176422761926883,0.201906334535212,0.423014003351283,0.00143844584838079,0.254456000519297,0.0633393379340868,0.0253137649389847,0.85582297115592,-0.204986118817369,0.137033794689728,0.186494087422547,0.176932779556226,-0.590075127596403,2.65548311381028e-06,0.538534529380021,2.66162006581316e-05,-0.515482575413237,6.63770197374713e-05,0.797461220662867,5.32119423664311e-13,-0.0432340954492191,0.75624486963658,-0.603273523268971,1.37785612245704e-06
"300.6929686","300.6929686",1507663.65,"","None||None","None||None","black",-0.22956888419837,0.0949408829746039,0.14873532513991,0.283097629561346,-0.0737440784128278,0.596147574164891,-0.227413752186454,0.0981705504120049,0.189551536321733,0.169813517608929,0.186738113266425,0.176356762983367,0.157908360006078,0.254117461742111,-0.0927045549646316,0.504941774473109,-0.150579971809962,0.277102121630291,0.0327306931349444,0.814243277371655,-0.628556754766648,3.59761861728495e-07,0.528250164550385,4.03431804555954e-05,-0.314002650525244,0.020762899350996,0.834439329065802,4.58128178026322e-15,-0.204668933981102,0.137655839830672,-0.476399501246454,0.000271055933513648
"338.1872706","338.1872706",16902228.88,"","","","black",-0.227023485656893,0.0987644049597376,0.286912578215976,0.0354236575451861,-0.00443020926754397,0.974636620400461,-0.249518014791673,0.0688243921792115,0.21239085046128,0.123103141814318,0.355909496025499,0.00825898628487793,0.126833720321054,0.360757039644276,0.00658120532502593,0.962329393154739,-0.205084869972279,0.136840559801781,0.0718794953453337,0.605495585954912,-0.720873489075455,7.89116907915351e-10,0.471818256908316,0.000316219551253312,-0.548359659759695,1.76598875643194e-05,0.774844921049086,6.16777491268785e-12,-0.164521525582056,0.234512895896037,-0.598944243780791,1.7142472288803e-06
"231.0974981","231.0974981",5111219.34,"C8H9NO3||C7H11NO5||C7H11NO5||C8H9NO3||C8H9NO3","Pyridoxal||N-Acetyl-L-glutamate||L-2-Amino-6-oxoheptanedioate||3-Methoxyanthranilate||Isopyridoxal","C00250||C00624||C03871||C05831||C06051","black",0.217977567810727,0.113324101170163,-0.25425717292206,0.063553200943129,-0.0566115613851366,0.684301385494983,0.17397583302173,0.208333090345721,-0.232077032180917,0.0912869142182854,-0.219718277977002,0.110401885379717,-0.251646318934546,0.0664155760147819,-0.0297245503040119,0.831041480942021,0.185543481103918,0.179189636187186,-0.124639705331314,0.369191732324364,0.727489681097785,4.63331136236014e-10,-0.546366739122474,1.92122646728075e-05,0.457706249790716,0.000501612371508942,-0.863419570867474,4.47817091889946e-17,0.136797892817047,0.323946511483846,0.635793549180155,2.39525752769904e-07
"232.1007918","232.1007918",976170.6,"","","","black",0.209318979531084,0.128745907476455,-0.259417793697747,0.0581867083684732,-0.058402503703946,0.67486148055283,0.163127208170933,0.238557164378277,-0.231698532754212,0.0918311848446387,-0.239793495364879,0.080730327052541,-0.249170986874745,0.0692236841486294,-0.0344793134678186,0.804509560587067,0.194500924299109,0.158734492849571,-0.123030267980636,0.375454102935424,0.731990232588769,3.19687063487507e-10,-0.530710381552602,3.65674159431821e-05,0.44910621081712,0.000658146129239543,-0.848142902211996,5.79072631220693e-16,0.132717801015206,0.338722063648866,0.629479668329113,3.41772448965293e-07
"155.0427766","155.0427766",2403835.655,"C4H8N2O3||C4H8N2O3||C4H8N2O3","None||None||None||None||None||None||None||None||None||None||None||L-Asparagine||N-Carbamoylsarcosine||3-Ureidopropionate","None||None||None||None||None||None||None||None||None||None||None||C00152||C01043||C02642","black",0.186128009674131,0.177799446407038,-0.139442485139831,0.314590664970953,0.400740619535369,0.00267440177009775,0.0609352021683326,0.661596477869147,-0.11841016266329,0.393781781209196,-0.395900517763777,0.00304355697169153,-0.35381329765181,0.00867395050610159,-0.218374143977712,0.112653201823048,0.27885077694197,0.0411638231358702,-0.264004758603587,0.0537292580949812,0.439174290635456,0.000892812673302142,-0.474355447884233,0.000290427366670894,0.370348763257729,0.00584088939083945,-0.797581997376025,5.24771575998106e-13,0.120330881897037,0.386099435048482,0.683841142751722,1.20096562751185e-08
"393.1804992","393.1804992",1398320.16,"","None||None","None||None","black",-0.181482925894761,0.189063941481901,0.135702319345364,0.327873357838468,-0.132443626338688,0.339729777289697,-0.356966120954129,0.00805643178409433,0.199605607083264,0.147873963390607,0.221264955913192,0.107854193666844,-0.0662989798629443,0.633845820271617,-0.273392504669179,0.0454684666318769,-0.0896964412735703,0.518920227750057,-0.0825000354095967,0.553130368926852,-0.597606080255813,1.83280607311642e-06,0.4829911111018,0.000216319369498282,-0.327996813982647,0.0154661611880023,0.726883673178739,4.86799934599501e-10,-0.173924695161783,0.208468919758165,-0.30780200159803,0.023560129814194
"299.1350404","299.1350404",1577370.82,"","","","black",0.180398845285074,0.191764796825187,-0.270666934746945,0.0477519850118425,0.0279740032161329,0.840858619145088,0.105189839616214,0.449049187589538,-0.24913124731675,0.0692695262940804,-0.174503285503636,0.20693573487267,-0.316942681156632,0.0195381175352257,-0.0885291735165838,0.524396186338442,0.176050398577761,0.202875171077338,-0.202443319836535,0.142080163581358,0.649150253601191,1.09896353873954e-07,-0.571199434359082,6.46269257053166e-06,0.408882460996294,0.00214230145320253,-0.873733794560226,6.63564026205749e-18,0.109045602529129,0.432504508337999,0.673451600338689,2.40382927807881e-08
