pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Metabolism of water-soluble vitamins and cofactors,Reactome,5,C00378;C03150;C00051;C05552;C01134,98 (122),0.000146,0.624
Metabolism of water-soluble vitamins and cofactors,Wikipathways,4,C00378;C00051;C01134;C05552,67 (79),0.000405,0.866
Metabolism of vitamins and cofactors,Reactome,5,C00378;C03150;C00051;C05552;C01134,136 (180),0.000675,0.96
glutathione biosynthesis,HumanCyc,2,C00669;C00051,9 (9),0.000991,1
Sulfation Biotransformation Reaction,Wikipathways,2,C00051;C00059,10 (10),0.00123,1
Glutathione synthesis and recycling,Reactome,2,C00669;C00051,14 (14),0.00246,1
Folate biosynthesis - Homo sapiens (human),KEGG,3,C04874;C05926;C21008,57 (57),0.00338,1
Glutathione metabolism,Wikipathways,2,C00669;C00051,19 (19),0.00455,1
Sepiapterin reductase deficiency,SMPDB,2,C05926;C04874,20 (20),0.00504,1
Segawa syndrome,SMPDB,2,C05926;C04874,20 (20),0.00504,1
Pterine Biosynthesis,SMPDB,2,C05926;C04874,20 (20),0.00504,1
Dopa-responsive dystonia,SMPDB,2,C05926;C04874,20 (20),0.00504,1
Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency,SMPDB,2,C05926;C04874,20 (20),0.00504,1
Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps),SMPDB,2,C05926;C04874,20 (20),0.00504,1
Hyperphenylalaninemia due to dhpr-deficiency,SMPDB,2,C05926;C04874,20 (20),0.00504,1
Benzo(a)pyrene metabolism,Wikipathways,1,C07535,1 (5),0.00542,1
stress induction of hsp regulation,BioCarta,1,C00051,1 (1),0.00542,1
Overview of nanoparticle effects,Wikipathways,1,C00051,1 (2),0.00542,1
Gamma-glutamyl-transpeptidase deficiency,SMPDB,2,C00669;C00051,22 (22),0.00609,1
5-oxoprolinase deficiency,SMPDB,2,C00669;C00051,22 (22),0.00609,1
Gamma-Glutamyltransferase Deficiency,SMPDB,2,C00669;C00051,22 (22),0.00609,1
Glutathione Metabolism,SMPDB,2,C00669;C00051,22 (22),0.00609,1
Glutathione Synthetase Deficiency,SMPDB,2,C00669;C00051,22 (22),0.00609,1
5-Oxoprolinuria,SMPDB,2,C00669;C00051,22 (22),0.00609,1
Ferroptosis,Wikipathways,2,C00669;C00051,24 (29),0.00723,1
Glutathione conjugation,Reactome,2,C00669;C00051,28 (31),0.00977,1
Biotin metabolism - Homo sapiens (human),KEGG,2,C20387;C05552,28 (28),0.00977,1
&gamma;-glutamyl cycle,HumanCyc,2,C00669;C00051,29 (29),0.0105,1
multi-drug resistance factors,BioCarta,1,C00051,2 (2),0.0108,1
Influenza A virus infection,Wikipathways,1,C00051,2 (2),0.0108,1
Thiamine metabolism - Homo sapiens (human),KEGG,2,C00378;C02892,31 (31),0.0119,1
Ferroptosis - Homo sapiens (human),KEGG,2,C00669;C00051,31 (31),0.0119,1
Glutamate Glutamine metabolism,INOH,2,C00669;C00051,34 (34),0.0142,1
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,Wikipathways,1,C00051,3 (3),0.0162,1
Acrylamide Biotransformation and Exposure Biomarkers,Wikipathways,1,C00051,3 (4),0.0162,1
Glutathione metabolism - Homo sapiens (human),KEGG,2,C00669;C00051,38 (38),0.0176,1
Vitamin digestion and absorption - Homo sapiens (human),KEGG,2,C00378;C05552,39 (39),0.0185,1
One carbon metabolism and related pathways,Wikipathways,2,C00669;C00051,42 (42),0.0213,1
Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Reactome,1,C00051,4 (8),0.0215,1
Sodium-coupled sulphate_ di- and tri-carboxylate transporters,Reactome,1,C00059,4 (4),0.0215,1
NAD metabolism_ sirtuins and aging,Wikipathways,1,C03150,4 (4),0.0215,1
Phase II - Conjugation of compounds,Wikipathways,3,C00051;C00669;C00059,119 (151),0.0254,1
Phase II - Conjugation of compounds,Reactome,3,C00051;C00669;C00059,120 (148),0.026,1
thiamin salvage III,HumanCyc,1,C00378,5 (5),0.0268,1
sulfite oxidation,HumanCyc,1,C00059,5 (5),0.0268,1
glutathione redox reactions II,HumanCyc,1,C00051,5 (5),0.0268,1
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,2,C14899;C05385,48 (48),0.0273,1
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,2,C00669;C00051,48 (49),0.0273,1
Homocarnosinosis,SMPDB,2,C00669;C00051,48 (49),0.0273,1
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,2,C00669;C00051,48 (49),0.0273,1
