pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Folate biosynthesis - Homo sapiens (human),KEGG,3,C04874;C05926;C21008,57 (57),0.00198,1
Sepiapterin reductase deficiency,SMPDB,2,C05926;C04874,20 (20),0.00351,1
Segawa syndrome,SMPDB,2,C05926;C04874,20 (20),0.00351,1
Pterine Biosynthesis,SMPDB,2,C05926;C04874,20 (20),0.00351,1
Dopa-responsive dystonia,SMPDB,2,C05926;C04874,20 (20),0.00351,1
Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency,SMPDB,2,C05926;C04874,20 (20),0.00351,1
Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps),SMPDB,2,C05926;C04874,20 (20),0.00351,1
Hyperphenylalaninemia due to dhpr-deficiency,SMPDB,2,C05926;C04874,20 (20),0.00351,1
Benzo(a)pyrene metabolism,Wikipathways,1,C07535,1 (5),0.00452,1
Metabolism of water-soluble vitamins and cofactors,Reactome,3,C00378;C03150;C01134,98 (122),0.00912,1
Sodium-coupled sulphate_ di- and tri-carboxylate transporters,Reactome,1,C00059,4 (4),0.018,1
NAD metabolism_ sirtuins and aging,Wikipathways,1,C03150,4 (4),0.018,1
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,2,C14899;C05385,48 (48),0.0193,1
Metabolism of vitamins and cofactors,Reactome,3,C00378;C03150;C01134,136 (180),0.022,1
thiamin salvage III,HumanCyc,1,C00378,5 (5),0.0224,1
sulfite oxidation,HumanCyc,1,C00059,5 (5),0.0224,1
Transport of bile salts and organic acids_ metal ions and amine compounds,Wikipathways,2,C00059;C05570,53 (77),0.0233,1
Pentose and glucuronate interconversions - Homo sapiens (human),KEGG,2,C14899;C05385,55 (55),0.025,1
CS/DS degradation,Reactome,1,C00059,6 (16),0.0268,1
Digestion resistant carbohydrate metabolism,Wikipathways,1,C00059,6 (6),0.0268,1
Transport and synthesis of PAPS,Reactome,1,C00059,7 (7),0.0312,1
sulfate activation for sulfonation,HumanCyc,1,C00059,7 (7),0.0312,1
Glycerophospholipid catabolism,Reactome,1,C00670,8 (11),0.0356,1
Hydrolysis of LPC,Reactome,1,C00670,8 (9),0.0356,1
Metabolism of water-soluble vitamins and cofactors,Wikipathways,2,C00378;C01134,67 (79),0.036,1
Arginine Proline metabolism,INOH,2,C00669;C05932,68 (68),0.037,1
Transport of bile salts and organic acids_ metal ions and amine compounds,Reactome,2,C00059;C05570,70 (78),0.039,1
Acetylcholine Synthesis,Wikipathways,1,C00670,9 (9),0.04,1
Keratan sulfate degradation,Reactome,1,C00059,9 (9),0.04,1
Vitamin B1 (thiamin) metabolism,Reactome,1,C00378,9 (9),0.04,1
glutathione biosynthesis,HumanCyc,1,C00669,9 (9),0.04,1
Multifunctional anion exchangers,Reactome,1,C00059,9 (10),0.04,1
Thiamine Metabolism,SMPDB,1,C00378,9 (9),0.04,1
Sulfation Biotransformation Reaction,Wikipathways,1,C00059,10 (10),0.0443,1
Methionine metabolism and related disorders,Wikipathways,1,C00059,11 (13),0.0486,1
Sulfur relay system - Homo sapiens (human),KEGG,1,C00378,11 (11),0.0486,1
Choline metabolism in cancer - Homo sapiens (human),KEGG,1,C00670,11 (11),0.0486,1
Vitamin B1 (thiamin) metabolism,EHMN,1,C00378,11 (11),0.0486,1
HS-GAG degradation,Reactome,1,C00059,12 (23),0.053,1
NAD+ biosynthetic pathways,Wikipathways,1,C03150,12 (13),0.053,1
Coenzyme A biosynthesis,Reactome,1,C01134,13 (13),0.0572,1
coenzyme A biosynthesis,HumanCyc,1,C01134,13 (13),0.0572,1
Glutathione synthesis and recycling,Reactome,1,C00669,14 (14),0.0615,1
Sulfide oxidation to sulfate,Reactome,1,C00059,14 (15),0.0615,1
Organic anion transporters,Reactome,1,C00059,14 (15),0.0615,1
NAD+ metabolism,Wikipathways,1,C03150,14 (14),0.0615,1
Chondroitin sulfate/dermatan sulfate metabolism,Reactome,1,C00059,15 (25),0.0658,1
Bile salt and organic anion SLC transporters,Reactome,1,C00059,15 (17),0.0658,1
Melanin biosynthesis,Wikipathways,1,C17935,15 (23),0.0658,1
Glycerophospholipid metabolism,EHMN,2,C00670;C04874,96 (96),0.0687,1
Chemical carcinogenesis - Homo sapiens (human),KEGG,2,C19488;C07535,99 (99),0.0725,1
Melanin biosynthesis,Reactome,1,C17935,17 (23),0.0742,1
Vitamin B5 (pantothenate) metabolism,Reactome,1,C01134,17 (17),0.0742,1
Keratan sulfate/keratin metabolism,Reactome,1,C00059,18 (18),0.0784,1
Glutathione metabolism,Wikipathways,1,C00669,19 (19),0.0826,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),KEGG,2,C04037;C05385,108 (108),0.0843,1
Pantothenate and CoA Biosynthesis,SMPDB,1,C01134,21 (21),0.0909,1
Vitamin B5 - CoA biosynthesis from pantothenate,EHMN,1,C01134,21 (21),0.0909,1
Sulfate/Sulfite Metabolism,SMPDB,1,C00059,22 (22),0.095,1
Gamma-glutamyl-transpeptidase deficiency,SMPDB,1,C00669,22 (22),0.095,1
5-oxoprolinase deficiency,SMPDB,1,C00669,22 (22),0.095,1
Sulfite oxidase deficiency,SMPDB,1,C00059,22 (22),0.095,1
Gamma-Glutamyltransferase Deficiency,SMPDB,1,C00669,22 (22),0.095,1
Glutathione Metabolism,SMPDB,1,C00669,22 (22),0.095,1
