"","comp 1","comp 2","comp 3","comp 4","comp 5"
"X9",-3.2967,0.84252,-1.7292,-0.67898,-4.2428
"X10",-7.6771,2.2066,-1.3171,0.73151,-2.9018
"X11",-2.0021,0.53403,2.0637,0.26721,-1.2548
"X12",0.25224,-0.028761,-0.29454,-1.1154,0.3303
"X13",3.7255,0.78346,1.3435,-3.0195,0.067004
"X14",-1.7655,3.1081,0.10683,-1.9832,0.73998
"X15",1.8646,1.4801,-1.8938,-2.7989,0.18513
"X16",1.0482,2.237,-0.87394,-2.3968,0.61282
"X33",1.9581,1.8399,-1.1643,-1.806,-4.9717
"X34",-2.9687,1.5034,-1.655,1.2657,-1.7582
"X35",3.8654,1.6014,1.6991,-1.6986,-5.0253
"X36",1.9703,4.7336,3.9867,1.9198,-1.693
"X37",-0.94243,0.61092,0.71677,-1.0487,3.1
"X38",-1.6881,2.2375,-0.92999,-1.6741,2.4469
"X39",1.714,3.3553,0.89367,-3.2724,-0.29792
"X40",4.6631,3.529,1.1816,-3.2188,1.6507
"X57",-0.10267,7.2494,7.169,4.3886,0.25367
"X58",-4.2628,0.64515,-1.4978,0.25839,-2.0101
"X59",2.1282,4.2323,3.8887,-0.8934,-2.2449
"X60",-0.17744,1.0422,1.0363,-2.4367,-1.3102
"X61",-2.5839,1.7914,1.3468,-1.9247,1.3536
"X62",-7.0916,4.3081,-4.7867,2.0309,-1.4063
"X63",1.035,4.0709,1.3126,-1.5545,-1.1749
"X64",2.4345,3.7934,0.12281,-1.4952,-4.4198
"X81",1.8016,5.2164,4.1989,-0.47052,7.2635
"X82",-1.6958,3.491,0.6768,-2.3906,2.9726
"X83",-1.0379,3.5111,0.54949,-2.2833,-1.7684
"X84",2.8714,2.3704,-1.8204,-1.014,-4.815
"X85",3.1568,2.3422,-0.67416,-2.6763,2.5816
"X86b",-8.6446,5.6678,-4.5006,2.9553,-1.5106
"X87",-5.7174,3.7175,-2.3654,1.1977,0.046087
"X88",-7.7392,4.7367,-0.0079447,-0.38995,-0.90591
"X105",0.93289,-1.0906,1.6818,-0.87966,-1.025
"X106",-3.0469,-0.19254,2.4956,0.042881,0.025708
"X107",1.4802,0.69202,2.8142,2.3379,-2.2661
"X108",-4.4311,-0.76049,2.1596,0.28379,0.7389
"X109",-1.2538,0.4996,2.7401,2.9169,-1.1164
"X110",-1.2452,-0.85165,1.1511,0.26043,0.05553
"X111",1.8327,0.61795,2.6218,1.5347,-3.5614
"X112",0.38427,0.43769,2.7695,1.7711,-3.2713
"X129",0.015289,-2.2489,0.68903,-2.6707,-1.5255
"X130",-0.784,-2.0072,0.91504,-0.68449,-1.1879
"X131",-2.7618,-1.3295,1.7381,-0.84397,1.2832
"X132",-3.2607,-1.1163,2.4048,-1.3849,-0.82808
"X133",-2.7734,-1.5161,1.4536,-0.63844,0.58247
"X134",-0.43653,-1.7146,0.81383,-1.2291,-1.0613
"X135",0.46807,-2.6966,0.12345,-0.44326,-0.84793
"X136",-3.6048,-1.8211,1.1601,-0.54129,0.75084
"X153",-2.2156,-1.7652,1.6569,-1.6187,0.18313
"X154",-4.405,-1.2941,0.73168,-1.0452,0.56014
"X155",-2.3457,-1.2812,1.2597,-1.6035,-0.65942
"X156",-3.6042,-1.8174,1.2926,0.19436,1.0331
"X157",-2.323,-0.82215,2.8051,-0.62306,-0.2914
"X158",-2.5547,-1.4191,1.8147,-1.062,0.35274
"X159",-1.2897,-1.8637,1.2616,-0.85896,-0.11378
"X160",-4.1702,-1.6542,0.76042,-0.075234,1.6988
"X177",-2.2667,-1.403,1.4166,-1.6914,-1.3057
"X178",-2.6241,-2.095,0.42021,-0.042771,-0.044516
"X179",-2.2324,-2.7059,0.83206,-1.0128,-0.48536
"X180",2.6922,-1.8322,0.55946,-1.6391,-2.5181
"X181",-3.4362,-1.868,1.4803,0.23313,0.8092
"X182",-0.085532,-2.0463,1.3449,-1.6227,-1.9493
"X183",-1.7989,-0.97681,2.0482,-0.66236,-1.054
"X184",-1.5418,-1.3114,1.621,-0.71903,-0.014065
"X1",-0.76064,-0.055071,-3.1042,-0.43405,-1.5041
"X2",-1.3628,0.65657,-2.6433,-0.69894,-2.8834
"X3",3.0577,-1.6262,-2.9667,0.6921,0.76535
"X4",2.3365,-1.6208,-3.0048,-0.63814,0.83418
"X5",-0.46991,-0.26985,0.21334,-1.3246,2.5336
"X6",0.69513,0.94884,-1.2411,-0.99256,0.05252
"X7",0.58329,2.0332,-0.79439,-1.0558,1.7601
"X8",1.6614,1.8378,-2.5269,-0.73282,1.7093
"X25",1.0924,-1.5652,-4.0396,0.53146,-1.8052
"X26",3.6598,0.046536,-2.5679,-1.4119,-4.8729
"X27_170220122827",-2.4607,-2.167,-2.0608,0.88787,5.2416
"X28",5.273,-0.31459,-0.81803,1.7601,-0.34251
"X29",5.7487,2.2929,0.23043,5.8091,1.3606
"X30",-1.7332,-0.67268,-1.9956,1.3671,2.6682
"X31",1.1899,1.5853,-5.3383,1.1362,-2.4807
"X49",2.7456,-0.46859,-2.2755,-1.6039,-2.4161
"X50_170220125855",0.12443,0.4613,-3.2745,-0.11341,-2.7267
"X51",2.0646,-2.5143,-3.5752,1.824,2.9431
"X52",1.6753,-0.76303,-0.74081,1.6507,1.8784
"X53",5.0914,0.27919,-1.2826,1.0201,0.17887
"X54",-4.8196,3.4316,-6.2332,3.2603,-0.58326
"X55",2.0452,2.7006,-1.5848,-0.64968,2.293
"X56",5.063,0.87688,-1.2522,-0.69449,1.4265
"X73",0.81128,2.3773,-0.69284,-0.23993,6.9109
"X74_170220132922",2.1245,0.91945,-2.9357,-0.6814,4.8653
"X75",3.7915,1.0488,-2.5513,-0.15668,3.8834
"X76",4.5982,1.8374,-0.29214,-1.7389,4.2967
"X77",1.2446,1.8337,-1.279,0.038303,3.427
"X78",4.5434,4.3514,2.2982,6.0368,0.72285
"X79",3.5018,2.3429,-1.1801,-0.77701,4.201
"X80",3.7565,1.7588,-4.0799,0.38453,-0.59761
"X97",2.3517,-1.8082,-0.59802,0.8188,-0.57309
"X98_170220135947",2.5057,-1.8764,-0.28129,0.43152,0.2268
"X99",4.5655,-0.42475,0.60514,1.6448,-1.5674
"X100",-1.2374,-0.76563,1.3726,-0.2343,-0.081997
"X101",1.0462,-0.53496,2.0855,3.7722,0.0084085
"X102",1.7216,-1.1485,1.2058,0.13183,0.45426
"X103",-4.3418,-1.2354,2.3441,0.41751,1.5434
"X104",3.326,-0.43792,1.285,2.3189,-2.0483
"X121",1.0971,-2.6241,-0.027019,1.0956,0.70428
"X122",2.4812,-0.66169,2.0384,3.4544,-0.93667
"X123",0.67542,-2.1361,0.75216,-0.064307,0.054416
"X124",1.6594,-2.2076,-0.6866,0.86167,0.43993
"X125",-1.9386,-2.0218,-0.41423,1.7093,1.0801
"X126",-3.6851,-2.3118,-0.8781,1.2649,1.8268
"X127",3.1878,-2.3585,0.59865,0.02397,-0.6972
"X128",2.3531,-0.85013,1.6563,2.3641,-1.2835
"X145",1.8678,-3.1917,-0.37054,1.3696,-0.60329
"X146",-0.0097608,-3.0983,-1.5737,0.5564,0.014671
"X147",3.4314,-1.7812,0.84041,0.7427,-0.94465
"X148",-2.038,-2.579,0.65172,0.18993,2.0823
"X149",-1.0623,-3.5151,-1.3178,1.4378,0.9808
"X150",-1.2971,-2.8059,0.22365,0.46348,3.0234
"X151",-1.3257,-1.6459,0.43904,1.2161,1.0357
"X152",-1.1159,-2.7047,0.070041,1.2375,1.5211
"X169",-0.089845,-3.1825,-1.2507,0.22335,-0.76263
"X170",0.29555,-3.2979,-0.46878,0.64969,-0.47101
"X171",-2.0783,-1.494,0.76047,0.28234,1.725
"X172",-0.98596,-2.4123,0.90516,0.36111,0.46907
"X173",3.7843,-3.9206,-0.95359,-0.022887,-1.9493
"X174",1.2766,-2.6496,-0.18918,-0.52052,-1.245
"X175",2.7728,-3.0607,0.17544,0.56669,-0.31366
"X176",1.5256,-4.3466,-1.2302,0.024107,-0.29217
