"","comp 1","comp 2","comp 3","comp 4","comp 5"
"223.0202811",-0.55013,0,0,0,0
"225.0160055",-0.53373,0,0,0,0
"224.0237715",-0.47411,0,0,0,0
"254.9924276",-0.23371,0,0,0,0
"251.1286348",-0.15522,0,0,0,0
"322.5940962",-0.15389,0,0,0,0
"299.099959",-0.1263,0,0,0,0
"467.0901935",-0.11434,0,0,0,0
"242.6292922",-0.10818,0,0,0,0
"323.6741235",-0.102,0,0,0,0
"265.1155693",-0.092331,0,0,0,0
"250.6267954",-0.083624,0,0,0,0
"233.0328707",-0.073825,0,0,0,0
"277.1179329",-0.06265,0,0,0,0
"215.0223244",-0.045983,0,0,0,0
"132.0654425",-0.037715,0,0,0,0
"261.0901325",-0.037524,0,0,0,0
"495.2018674",0.03327,0,0,0,0
"317.0509725",-0.028319,0,0,0,0
"276.1080392",0.025777,0,0,0,0
"214.0642677",-0.025494,0,0,0,0
"247.048534",-0.017706,0,0,0,0
"155.0427766",-0.014629,0,0,0,0
"334.1467021",0.01409,0,0,0,0
"300.1230373",0.012795,0,0,0,0
"325.1415937",0.011342,0,0,0,0
"286.1510216",-0.0091003,0,0.069937,0,0
"250.1111724",-0.0042637,0,0,0,0
"114.0549167",-0.0031412,0,0,0,0
"424.7476634",0.00054066,0,0,0,0
"244.100835",0,0.34178,0,0,0
"243.097551",0,0.31795,0,0,0
"265.0794687",0,0.30572,0,0,0
"128.0534673",0,0.30421,0,0,0
"330.6693808",0,0.30253,0,0,0
"127.0501466",0,0.28704,0,0,0
"266.0827982",0,0.27963,0,0,0
"180.7881411",0,-0.27537,0,0,0
"313.6885719",0,-0.21786,0,0,0
"237.0941385",0,0.21164,0,0,0
"211.0709958",0,0.19899,0,0,0
"421.1925035",0,0.17911,0,0,0
"357.6245187",0,0.15,0,0,0
"313.1869117",0,-0.12992,0,0,0
"449.7536179",0,-0.12165,0,0,0
"275.630472",0,0.10885,0,0,0
"354.1299184",0,0.091983,0,0,0
"536.2219442",0,0.080321,0,0,0
"229.0819318",0,0.065384,0,0,0
"313.0345214",0,0.059851,0,0,0
"262.1509338",0,-0.058699,0,0,0
"319.1906039",0,-0.055753,0,0,0
"280.1374605",0,0.048107,0,0,0
"336.1660005",0,0.048051,0,0,0
"254.0963536",0,0.042279,0,0,0
"384.0353594",0,-0.03727,0,0,0
"605.7504065",0,0.02695,0,0,0
"282.0783602",0,0.013438,0,0,0
"457.2774789",0,-0.01275,0,0,0
"305.6112692",0,0.0020914,0,0,0
"100.0755823",0,0,0,0,0
"101.0084619",0,0,0,0,0
"101.0230505",0,0,0,0,0
"101.0232979",0,0,0,0,0
"101.023312",0,0,0,0,0
"102.0092312",0,0,0,0,0
"102.0548373",0,0,0,0,0
"102.0549167",0,0,0,0,0
"102.0909528",0,0,0,0,0
"102.0910822",0,0,0,0,0
"102.0912792",0,0,0,0,0
"102.5708116",0,0,0,0,0
"103.0058852",0,0,0,0,0
"103.0540818",0,0,0,0,0
"103.0541606",0,0,0,0,0
"104.0527685",0,0,0,0,0
"104.0575158",0,0,0,0,0
"104.0705707",0,0,0,0,0
"104.1069793",0,0,0,0,0
"105.0033603",0,0,0,0,0
"105.0561443",0,0,0,0,0
"105.0738741",0,0,0,0,0
"105.1103297",0,0,0,0,0
"106.0041261",0,0,0,0,0
"106.0485311",0,0,0,0,0
"106.0498515",0,0,0,0,0
"106.0862363",0,0,0,0,0
"106.1112152",0,0,0,0,0
"106.9506127",0,0,0,0,0
"107.0008701",0,0,0,0,0
"107.0488348",0,0,0,0,0
"107.049029",0,0,0,0,0
"108.0523225",0,0,0,0,0
"110.0347475",0,0,0,0,0
"110.0347721",0,0,0,0,0
"110.0712676",0,0,0,0,0
"111.0745956",0,0,0,0,0
"112.0369371",0,0,0,0,0
"112.0502533",0,0,0,0,0
"112.0502548",0,0,0,0,0
"112.0502628",0,0,0,0,0
"112.0870148",0,0,0,0,0
"112.8956887",0,0,0,0,0
"112.9997878",0,0,0,0,0
"113.034489",0,0,0,0,0
"113.0344995",0,0,0,0,0
"113.0537146",0,0,0,0,0
"113.0903441",0,0,0,0,0
"113.1072175",0,0,0,0,0
"114.0377998",0,0,0,0,0
"114.037843",0,0,0,0,0
"114.0605353",0,0,0,0,0
"114.1025296",0,0,0,0,0
"114.5621753",0,0,0,0,0
"114.8929331",0,0,0,0,0
"115.0365582",0,0,0,0,0
"115.0389616",0,0,0,0,0
"115.0503774",0,0,0,0,0
"115.0538018",0,0,0,0,0
"115.0866253",0,0,0,0,0
"116.0422718",0,0,0,0,0
"116.0706019",0,0,0,0,0
"117.0569547",0,0,0,0,0
"117.0571822",0,0,0,0,0
"117.0738177",0,0,0,0,0
"117.102065",0,0,0,0,0
"117.5760179",0,0,0,0,0
"118.0649125",0,0,0,0,0
"118.0650159",0,0,0,0,0
"118.065084",0,0,0,0,0
"118.0747436",0,0,0,0,0
"118.0863606",0,0,0,0,0
"119.0161079",0,0,0,0,0
"119.0190281",0,0,0,0,0
"119.0351701",0,0,0,0,0
"119.0352887",0,0,0,0,0
"119.0490862",0,0,0,0,0
"119.0603445",0,0,0,0,0
"119.0682711",0,0,0,0,0
"119.0684142",0,0,0,0,0
"119.070247",0,0,0,0,0
"119.073003",0,0,0,0,0
"119.0893374",0,0,0,0,0
"120.0032714",0,0,0,0,0
"120.0198327",0,0,0,0,0
"120.0384981",0,0,0,0,0
"120.0523882",0,0,0,0,0
"120.0654879",0,0,0,0,0
"120.0807529",0,0,0,0,0
"120.0903081",0,0,0,0,0
"120.9561455",0,0,0,0,0
"120.9563801",0,0,0,0,0
"120.9563877",0,0,0,0,0
"121.0164264",0,0,0,0,0
"121.0395523",0,0,0,0,0
"121.0395777",0,0,0,0,-0.033861
"121.0647032",0,0,0,0,0
"121.068761",0,0,0,0,0
"121.08398",0,0,0,0,0
"121.0841745",0,0,0,0,0
"122.0874069",0,0,0,0,0
"122.9245487",0,0,0,0,0
"123.01385",0,0,0,0,0
"123.0552451",0,0,0,0,0
"123.5815309",0,0,0,0,0
"123.5940724",0,0,0,0,0
"123.9408555",0,0,0,0,0
"124.0146935",0,0,0,0,0
"124.0392964",0,0,0,0,0
"124.0472854",0,0,0,0,0
"124.0585903",0,0,0,0,0
"124.095764",0,0,0,0,0
"124.9227063",0,0,0,0,0
"125.0114375",0,0,0,0,0
"125.0425572",0,0,0,0,0
"125.1073096",0,0,0,0,0
"126.0434269",0,0,0,0,0
"127.0501115",0,0,0,0,0
"127.0501531",0,0,0,0,0
"128.0317842",0,0,0,0,0
"128.0453305",0,0,0,0,0
"128.0453784",0,0,0,0,0
"128.9707677",0,0,0,0,0
"129.0181439",0,0,0,0,0
"129.0657929",0,0,0,0,0
"129.1021452",0,0,0,0,0
"129.5760343",0,0,0,0,0
