"","comp 1","comp 2","comp 3","comp 4","comp 5"
"X1",-0.62877,-3.6811,-3.3757,3.5294,-1.2677
"X2",0.034192,-2.9106,-1.9634,1.8782,0.22173
"X3",3.4169,-2.6914,-0.6682,-0.18308,-1.3641
"X4",4.2463,-2.293,-0.8024,1.3802,-1.7504
"X5",3.9632,-3.7567,0.75202,0.60235,-2.1713
"X6",1.3378,-1.3298,-0.68076,-1.6357,0.74478
"X7",1.002,-1.1128,-1.7543,-1.4957,-0.53866
"X8",1.4561,0.35292,-3.1172,-1.1667,-1.3982
"X25",3.4776,-2.3414,-3.1043,1.1689,0.17164
"X26",1.9779,-2.399,-1.0443,1.0224,0.97356
"X27_170220122827",3.9346,-4.5109,-0.24503,3.0877,-7.0554
"X28",2.4933,-5.13,-1.7413,3.6414,0.15695
"X29",-2.1913,1.0064,-8.41,6.6201,-1.0545
"X30",3.808,-3.3535,-0.23146,1.0506,-3.1483
"X31",3.1068,-0.62527,-3.0825,-3.9459,4.269
"X49",2.4909,-4.1802,-2.3646,3.7611,-2.1981
"X50_170220125855",1.7688,-1.5327,-3.7218,0.50383,0.78732
"X51",3.9801,-3.5541,0.56377,0.46823,-3.5189
"X52",3.2178,-3.0688,1.0053,-0.5262,-1.7268
"X53",3.1782,-1.6616,-0.449,0.49692,-2.0944
"X54",-3.3646,-3.2998,-3.6512,-0.89976,-2.777
"X55",-1.2187,0.8339,-2.4834,-1.8666,-1.8201
"X56",1.7943,2.8066,-0.58144,-1.9885,-1.2579
"X73",-1.1541,-0.073124,-1.3403,-1.7197,-3.038
"X74_170220132922",-1.219,2.3471,-3.3058,-0.55349,-3.4108
"X75",-0.15156,3.0293,-2.9272,-1.3864,-0.78338
"X76",0.60104,6.0707,-3.0603,-0.94998,-1.4869
"X77",0.1053,1.4124,-1.8475,-1.2804,-2.5643
"X78",-1.3454,-3.5307,-6.1533,3.7689,3.1502
"X79",3.124,1.1966,-1.3906,-2.2726,-1.2281
"X80",1.9579,3.1739,-4.0556,-2.6816,3.4734
"X97",-0.48745,5.9376,-1.038,2.6867,0.58181
"X98_170220135947",-0.12218,6.5088,0.27104,2.7706,0.32168
"X99",2.3439,1.6555,3.9802,4.628,2.0684
"X100",1.1673,2.6264,-1.2871,1.9718,1.1641
"X101",3.1676,2.1673,2.8039,4.6726,3.1052
"X102",-0.75122,5.2361,-1.2568,3.5698,0.95751
"X103",2.9624,0.9837,-1.2046,1.5458,0.3778
"X104",2.3376,1.7293,2.6576,5.6183,3.238
"X121",2.2883,3.4524,0.59537,1.2562,1.5771
"X122",2.0622,3.1229,2.1077,4.5031,1.6751
"X123",-0.0093382,4.7691,-1.494,2.7265,0.27714
"X124",1.4471,3.0522,0.79562,1.5805,-0.7169
"X125",1.5489,2.8408,-1.4962,0.94532,0.24768
"X126",2.5872,1.7434,-0.94966,1.3981,-0.82873
"X127",1.5434,6.5703,0.81375,1.8812,1.067
"X128",2.1332,3.9869,2.4898,4.2967,2.1241
"X145",1.6721,5.3225,-0.49182,0.21767,0.19388
"X146",-0.42945,5.7035,-1.1862,-0.14767,-1.6598
"X147",0.94118,6.7234,1.2798,1.3831,1.1544
"X148",3.4621,1.1449,1.1301,-0.60878,-0.89678
"X149",3.7338,1.4346,1.0935,-1.0446,-1.9799
"X150",2.9725,2.6785,0.071742,-0.47074,0.72542
"X151",0.093858,5.1178,-1.0355,0.40529,0.36626
"X152",3.1902,1.3996,1.8872,0.78587,-0.7336
"X169",0.148,3.0912,-0.87268,-2.9443,-2.4239
"X170",2.4937,3.1048,0.66729,-2.2329,-0.84134
"X171",0.72007,3.9217,-2.3847,0.68399,-4.4635
"X172",0.20806,5.2473,-1.051,-2.1183,-1.5682
"X173",2.0416,4.153,2.056,-3.4092,-0.087192
"X174",0.40016,6.2373,0.69051,-2.4913,-0.041768
"X175",3.9252,3.5783,2.8554,-2.6227,1.2549
"X176",3.3269,2.4696,1.5789,-2.3108,0.50076
"X17",-1.3068,-5.0037,0.48306,1.3971,0.69445
"X18",-1.0806,-3.631,-1.9703,1.1519,1.4781
"X19",-1.5515,-5.105,-0.31923,0.67458,-0.80991
"X20",1.2527,-5.0379,-1.7675,0.99224,1.4404
"X21",-0.72827,-5.0668,-1.1362,2.2012,-0.029678
"X22",0.2495,-3.6087,0.49887,-3.5009,-1.1608
"X23",0.45853,-1.6965,-1.6433,-4.133,3.8568
"X24",3.2072,-2.3604,-0.5845,-5.1366,6.5349
"X41",-1.415,-5.0604,0.015032,1.8976,0.67745
"X42",-2.1511,-3.9141,-1.082,-0.50407,2.0444
"X43",0.11041,-5.3679,-1.672,-0.27441,0.90281
"X44",-2.2156,-5.1148,-1.7689,2.7129,-1.0283
"X45",2.4338,-3.248,1.1309,-1.6552,-2.2286
"X46",-3.7519,1.4197,-1.3989,-2.282,-0.23981
"X47",-2.5464,1.9342,-1.9897,-1.9709,-0.37285
"X48b",-2.9502,1.7524,-4.3565,-3.1715,3.7367
"X65",-0.38029,-4.9564,1.2648,0.87673,1.813
"X66",-2.1688,-3.455,-1.8881,-0.56264,2.1276
"X67",2.9258,-1.4866,-0.20465,-1.3033,3.3235
"X68",0.52503,-2.3606,2.4041,-2.9338,2.3509
"X69",-0.5131,-1.1728,0.45331,-1.3986,3.5769
"X70",0.42382,-3.302,5.5213,-1.9593,-0.21769
"X71",-3.0037,-2.3248,-1.8025,-2.4811,2.0282
"X72",-3.793,-1.3264,-3.7042,0.63214,-1.2714
"X89",-2.993,-3.0854,-2.7456,-4.4546,-0.51268
"X90",-1.5763,2.7687,-1.2155,-2.091,-1.4543
"X91",-2.5271,1.4987,-1.8733,-1.5621,-1.9294
"X92",-1.3317,0.79408,-1.0661,-2.0982,-0.47933
"X93",-0.81416,-3.1529,0.65082,-3.288,2.3847
"X94",-1.6089,-4.1986,2.3055,-3.1671,-0.14539
"X95",-0.63796,-0.70599,-1.5915,-3.3245,5.2966
"X96",1.8228,-3.2581,-0.037425,-4.5721,6.3702
"X113",0.54831,-3.5728,3.8433,0.89378,0.365
"X114",-4.2291,1.6902,1.2677,2.0771,-0.81615
"X115",-2.9963,1.4861,-0.15023,3.1872,1.4837
"X116",-4.2919,0.67609,1.258,2.6514,0.70455
"X117",-1.3806,-3.1263,1.7643,0.82475,-0.72256
"X118",-0.50993,-2.3342,1.9697,0.67291,-0.47937
"X119",-0.14228,-2.8655,5.2921,4.5608,2.2527
"X120",-2.599,-0.54986,4.3951,4.9468,2.4412
"X137",-2.4973,0.24779,1.016,-0.12637,0.35211
"X138",-4.2661,2.0106,0.14723,0.65734,-0.72227
"X139",-5.0537,0.75178,1.1961,3.3674,1.2283
"X140",-3.947,1.5435,2.8501,1.1684,1.1836
"X141",-2.3254,0.8407,1.7508,0.97282,1.0067
"X142",-4.1818,1.2337,1.2563,0.84066,0.092055
"X143",-3.1823,0.35179,0.66616,1.2106,-0.25731
"X144",-2.4442,-1.1576,2.2477,1.4841,0.89859
"X161",-4.3879,1.0092,1.1262,1.1819,0.050829
"X162",-1.6849,-2.0873,4.2238,2.3387,-0.070972
"X163",-2.9395,-1.2076,2.615,-0.11593,-1.4033
"X164",-0.50475,-2.5831,2.3369,-1.1698,-1.871
"X165",-4.1866,2.1395,1.3829,-0.043297,-1.6874
"X166",0.51068,-1.5808,3.53,-1.0321,-0.69373
"X167",-2.5669,0.29814,2.3157,-0.078156,-0.010719
"X185",-0.1586,-0.45588,3.1602,-2.9381,-2.2103
"X186b",-0.38702,-1.197,1.1259,-1.6705,-1.3262
"X187",-1.1038,-2.1236,3.4034,-1.5691,-3.8441
